x     y      long    lat
58    27     115.8   38.5
59    26     115.8   38.4
59    27     115.8   38.5
60    24     116.0   38.1
60    25     116.0   38.2
60    26     116.0   38.4
60    27     116.0   38.5
60    28     116.0   38.6
60    30     116.0   38.8
61    23     116.0   38.1
61    24     116.0   38.1
61    25     116.0   38.2
61    26     116.0   38.4
61    27     116.0   38.5
61    28     116.0   38.6
61    29     116.0   38.6
61    30     116.0   38.8
62    22     116.1   38.0
62    23     116.1   38.1
62    24     116.1   38.1
62    25     116.1   38.2
62    26     116.1   38.4
62    27     116.1   38.5
62    28     116.1   38.6
62    29     116.1   38.6
62    30     116.1   38.8
62    31     116.1   38.9
63    23     116.2   38.1
63    24     116.2   38.1
63    25     116.2   38.2
63    26     116.2   38.4
63    27     116.2   38.5
63    28     116.2   38.6
63    29     116.2   38.6
63    30     116.2   38.8
64    23     116.3   38.1
64    24     116.3   38.1
64    25     116.3   38.2
64    26     116.3   38.4
64    27     116.3   38.5
64    28     116.3   38.6
64    29     116.3   38.6
64    30     116.3   38.8
65    18     116.5   37.6
65    19     116.5   37.6
65    20     116.5   37.8
65    23     116.5   38.1
65    24     116.5   38.1
65    25     116.5   38.2
65    26     116.5   38.4
65    27     116.5   38.5
66    19     116.5   37.6
66    20     116.5   37.8
66    21     116.5   37.9
66    23     116.5   38.1
66    24     116.5   38.1
66    25     116.5   38.2
66    26     116.5   38.4
66    27     116.5   38.5
67    20     116.6   37.8
67    21     116.6   37.9
67    22     116.6   38.0
67    23     116.6   38.1
67    24     116.6   38.1
67    25     116.6   38.2
67    26     116.6   38.4
67    27     116.6   38.5
67    28     116.6   38.6
68    21     116.8   37.9
68    22     116.8   38.0
68    23     116.8   38.1
68    24     116.8   38.1
68    25     116.8   38.2
68    26     116.8   38.4
68    27     116.8   38.5
68    28     116.8   38.6
69    21     116.8   37.9
69    22     116.8   38.0
69    23     116.8   38.1
69    24     116.8   38.1
69    25     116.8   38.2
69    26     116.8   38.4
69    27     116.8   38.5
69    28     116.8   38.6
69    29     116.8   38.6
70    21     117.0   37.9
70    22     117.0   38.0
70    23     117.0   38.1
70    24     117.0   38.1
70    25     117.0   38.2
70    26     117.0   38.4
70    27     117.0   38.5
70    28     117.0   38.6
70    29     117.0   38.6
71    21     117.0   37.9
71    22     117.0   38.0
71    23     117.0   38.1
71    24     117.0   38.1
71    25     117.0   38.2
71    26     117.0   38.4
71    27     117.0   38.5
71    28     117.0   38.6
71    29     117.0   38.6
72    21     117.1   37.9
72    22     117.1   38.0
72    23     117.1   38.1
72    24     117.1   38.1
72    25     117.1   38.2
72    26     117.1   38.4
72    27     117.1   38.5
72    28     117.1   38.6
73    21     117.2   37.9
73    22     117.2   38.0
73    23     117.2   38.1
73    24     117.2   38.1
73    25     117.2   38.2
73    26     117.2   38.4
73    27     117.2   38.5
73    28     117.2   38.6
74    22     117.3   38.0
74    23     117.3   38.1
74    24     117.3   38.1
74    25     117.3   38.2
74    26     117.3   38.4
74    27     117.3   38.5
74    28     117.3   38.6
75    22     117.5   38.0
75    23     117.5   38.1
75    24     117.5   38.1
75    25     117.5   38.2
75    26     117.5   38.4
75    27     117.5   38.5
75    28     117.5   38.6
76    23     117.5   38.1
76    24     117.5   38.1
76    25     117.5   38.2
76    26     117.5   38.4
76    27     117.5   38.5
76    28     117.5   38.6
77    24     117.6   38.1
77    25     117.6   38.2
77    26     117.6   38.4
77    27     117.6   38.5
78    24     117.8   38.1
78    25     117.8   38.2
