x     y      long    lat
36    9     113.5   36.6
36    10     113.5   36.8
37    7     113.6   36.5
37    8     113.6   36.6
37    9     113.6   36.6
37    10     113.6   36.8
38    7     113.8   36.5
38    8     113.8   36.6
38    9     113.8   36.6
38    10     113.8   36.8
38    11     113.8   36.9
39    7     113.8   36.5
39    8     113.8   36.6
39    9     113.8   36.6
39    10     113.8   36.8
39    11     113.8   36.9
39    12     113.8   37.0
40    7     114.0   36.5
40    8     114.0   36.6
40    9     114.0   36.6
40    10     114.0   36.8
40    11     114.0   36.9
40    12     114.0   37.0
41    6     114.0   36.4
41    7     114.0   36.5
41    8     114.0   36.6
41    9     114.0   36.6
41    10     114.0   36.8
41    11     114.0   36.9
42    6     114.1   36.4
42    7     114.1   36.5
42    8     114.1   36.6
42    9     114.1   36.6
42    10     114.1   36.8
43    6     114.2   36.4
43    7     114.2   36.5
43    8     114.2   36.6
43    9     114.2   36.6
43    10     114.2   36.8
43    11     114.2   36.9
44    5     114.3   36.2
44    6     114.3   36.4
44    7     114.3   36.5
44    8     114.3   36.6
44    9     114.3   36.6
44    10     114.3   36.8
44    11     114.3   36.9
45    5     114.5   36.2
45    6     114.5   36.4
45    7     114.5   36.5
45    8     114.5   36.6
45    9     114.5   36.6
45    10     114.5   36.8
46    5     114.5   36.2
46    6     114.5   36.4
46    7     114.5   36.5
46    8     114.5   36.6
46    9     114.5   36.6
46    10     114.5   36.8
46    11     114.5   36.9
47    4     114.6   36.1
47    5     114.6   36.2
47    6     114.6   36.4
47    7     114.6   36.5
47    8     114.6   36.6
47    9     114.6   36.6
47    10     114.6   36.8
47    11     114.6   36.9
48    4     114.8   36.1
48    5     114.8   36.2
48    6     114.8   36.4
48    7     114.8   36.5
48    8     114.8   36.6
48    9     114.8   36.6
48    10     114.8   36.8
48    11     114.8   36.9
49    4     114.8   36.1
49    5     114.8   36.2
49    6     114.8   36.4
49    7     114.8   36.5
49    8     114.8   36.6
49    9     114.8   36.6
49    10     114.8   36.8
49    11     114.8   36.9
49    12     114.8   37.0
50    4     115.0   36.1
50    5     115.0   36.2
50    6     115.0   36.4
50    7     115.0   36.5
50    8     115.0   36.6
50    9     115.0   36.6
50    10     115.0   36.8
50    11     115.0   36.9
51    5     115.0   36.2
51    6     115.0   36.4
51    7     115.0   36.5
51    8     115.0   36.6
51    9     115.0   36.6
51    10     115.0   36.8
51    11     115.0   36.9
51    12     115.0   37.0
52    5     115.1   36.2
52    6     115.1   36.4
52    7     115.1   36.5
52    8     115.1   36.6
52    9     115.1   36.6
52    10     115.1   36.8
52    11     115.1   36.9
53    5     115.2   36.2
53    6     115.2   36.4
53    7     115.2   36.5
53    8     115.2   36.6
53    9     115.2   36.6
53    10     115.2   36.8
53    11     115.2   36.9
54    4     115.3   36.1
54    5     115.3   36.2
54    9     115.3   36.6
54    10     115.3   36.8
55    5     115.5   36.2
55    10     115.5   36.8
