x     y      long    lat
54    17     115.3   37.5
54    19     115.3   37.6
54    20     115.3   37.8
54    24     115.3   38.1
54    25     115.3   38.2
55    17     115.5   37.5
55    18     115.5   37.6
55    19     115.5   37.6
55    20     115.5   37.8
55    21     115.5   37.9
55    24     115.5   38.1
55    25     115.5   38.2
56    16     115.5   37.4
56    17     115.5   37.5
56    18     115.5   37.6
56    19     115.5   37.6
56    20     115.5   37.8
56    21     115.5   37.9
56    22     115.5   38.0
56    23     115.5   38.1
56    24     115.5   38.1
56    25     115.5   38.2
57    16     115.6   37.4
57    17     115.6   37.5
57    18     115.6   37.6
57    19     115.6   37.6
57    20     115.6   37.8
57    21     115.6   37.9
57    22     115.6   38.0
57    23     115.6   38.1
57    24     115.6   38.1
57    25     115.6   38.2
58    15     115.8   37.2
58    16     115.8   37.4
58    17     115.8   37.5
58    18     115.8   37.6
58    19     115.8   37.6
58    20     115.8   37.8
58    21     115.8   37.9
58    22     115.8   38.0
58    23     115.8   38.1
58    24     115.8   38.1
58    25     115.8   38.2
58    26     115.8   38.4
59    14     115.8   37.1
59    15     115.8   37.2
59    16     115.8   37.4
59    17     115.8   37.5
59    18     115.8   37.6
59    19     115.8   37.6
59    20     115.8   37.8
59    21     115.8   37.9
59    22     115.8   38.0
59    23     115.8   38.1
59    24     115.8   38.1
59    25     115.8   38.2
60    15     116.0   37.2
60    16     116.0   37.4
60    17     116.0   37.5
60    18     116.0   37.6
60    19     116.0   37.6
60    20     116.0   37.8
60    21     116.0   37.9
60    22     116.0   38.0
60    23     116.0   38.1
61    17     116.0   37.5
61    18     116.0   37.6
61    19     116.0   37.6
61    20     116.0   37.8
61    21     116.0   37.9
61    22     116.0   38.0
62    17     116.1   37.5
62    18     116.1   37.6
62    19     116.1   37.6
62    20     116.1   37.8
62    21     116.1   37.9
63    18     116.2   37.6
63    19     116.2   37.6
63    20     116.2   37.8
63    21     116.2   37.9
63    22     116.2   38.0
64    19     116.3   37.6
64    20     116.3   37.8
64    21     116.3   37.9
64    22     116.3   38.0
65    21     116.5   37.9
65    22     116.5   38.0
66    22     116.5   38.0
