x     y      long    lat
62    37     116.1   39.5
63    31     116.2   38.9
63    34     116.2   39.1
63    35     116.2   39.2
63    36     116.2   39.4
63    37     116.2   39.5
64    31     116.3   38.9
64    32     116.3   39.0
64    33     116.3   39.1
64    34     116.3   39.1
64    35     116.3   39.2
64    36     116.3   39.4
65    28     116.5   38.6
65    29     116.5   38.6
65    30     116.5   38.8
65    31     116.5   38.9
65    32     116.5   39.0
65    33     116.5   39.1
65    34     116.5   39.1
65    35     116.5   39.2
65    36     116.5   39.4
65    37     116.5   39.5
66    28     116.5   38.6
66    29     116.5   38.6
66    30     116.5   38.8
66    31     116.5   38.9
66    32     116.5   39.0
66    33     116.5   39.1
66    34     116.5   39.1
66    35     116.5   39.2
66    36     116.5   39.4
66    37     116.5   39.5
66    38     116.5   39.6
67    29     116.6   38.6
67    30     116.6   38.8
67    31     116.6   38.9
67    32     116.6   39.0
67    33     116.6   39.1
67    34     116.6   39.1
67    35     116.6   39.2
67    36     116.6   39.4
67    37     116.6   39.5
67    38     116.6   39.6
68    29     116.8   38.6
68    33     116.8   39.1
68    34     116.8   39.1
68    35     116.8   39.2
68    36     116.8   39.4
68    37     116.8   39.5
68    38     116.8   39.6
69    34     116.8   39.1
69    35     116.8   39.2
69    36     116.8   39.4
69    42     116.8   40.0
70    40     117.0   39.8
70    41     117.0   39.9
70    42     117.0   40.0
71    39     117.0   39.6
71    40     117.0   39.8
71    41     117.0   39.9
71    42     117.0   40.0
71    43     117.0   40.1
72    39     117.1   39.6
72    40     117.1   39.8
72    41     117.1   39.9
72    43     117.1   40.1
73    41     117.2   39.9
