x  y long lat
19 30 113.8 38.8
19 31 113.8 38.9
19 32 113.8 39.0
20 30 114.0 38.8
20 31 114.0 38.9
20 32 114.0 39.0
20 33 114.0 39.1
21 30 114.0 38.8
21 31 114.0 38.9
21 32 114.0 39.0
21 33 114.0 39.1
22 30 114.1 38.8
22 31 114.1 38.9
22 32 114.1 39.0
23 30 114.2 38.8
23 31 114.2 38.9
23 32 114.2 39.0
23 33 114.2 39.1
24 30 114.3 38.8
24 31 114.3 38.9
24 32 114.3 39.0
24 33 114.3 39.1
25 30 114.5 38.8
25 31 114.5 38.9
25 32 114.5 39.0
25 33 114.5 39.1
25 34 114.5 39.1
25 35 114.5 39.2
26 29 114.5 38.6
26 30 114.5 38.8
26 31 114.5 38.9
26 32 114.5 39.0
26 33 114.5 39.1
26 34 114.5 39.1
26 35 114.5 39.2
26 36 114.5 39.4
26 37 114.5 39.5
27 28 114.6 38.6
27 29 114.6 38.6
27 30 114.6 38.8
27 31 114.6 38.9
27 32 114.6 39.0
27 33 114.6 39.1
27 34 114.6 39.1
27 35 114.6 39.2
27 36 114.6 39.4
27 37 114.6 39.5
27 38 114.6 39.6
28 28 114.8 38.6
28 29 114.8 38.6
28 30 114.8 38.8
28 31 114.8 38.9
28 32 114.8 39.0
28 33 114.8 39.1
28 34 114.8 39.1
28 35 114.8 39.2
28 36 114.8 39.4
28 37 114.8 39.5
28 38 114.8 39.6
29 27 114.8 38.5
29 28 114.8 38.6
29 29 114.8 38.6
29 30 114.8 38.8
29 31 114.8 38.9
29 32 114.8 39.0
29 33 114.8 39.1
29 34 114.8 39.1
29 35 114.8 39.2
29 36 114.8 39.4
29 37 114.8 39.5
29 38 114.8 39.6
30 26 115.0 38.4
30 27 115.0 38.5
30 28 115.0 38.6
30 29 115.0 38.6
30 30 115.0 38.8
30 31 115.0 38.9
30 32 115.0 39.0
30 33 115.0 39.1
30 34 115.0 39.1
30 35 115.0 39.2
30 36 115.0 39.4
30 37 115.0 39.5
30 38 115.0 39.6
30 39 115.0 39.6
31 26 115.0 38.4
31 27 115.0 38.5
31 28 115.0 38.6
31 29 115.0 38.6
31 30 115.0 38.8
31 31 115.0 38.9
31 32 115.0 39.0
31 33 115.0 39.1
31 34 115.0 39.1
31 35 115.0 39.2
31 36 115.0 39.4
31 37 115.0 39.5
31 38 115.0 39.6
31 39 115.0 39.6
32 26 115.1 38.4
32 27 115.1 38.5
32 28 115.1 38.6
32 29 115.1 38.6
32 30 115.1 38.8
32 31 115.1 38.9
32 32 115.1 39.0
32 33 115.1 39.1
32 34 115.1 39.1
32 35 115.1 39.2
32 36 115.1 39.4
32 37 115.1 39.5
32 38 115.1 39.6
32 39 115.1 39.6
33 26 115.2 38.4
33 27 115.2 38.5
33 28 115.2 38.6
33 29 115.2 38.6
33 30 115.2 38.8
33 31 115.2 38.9
33 32 115.2 39.0
33 33 115.2 39.1
33 34 115.2 39.1
33 35 115.2 39.2
33 36 115.2 39.4
33 37 115.2 39.5
33 38 115.2 39.6
33 39 115.2 39.6
34 26 115.3 38.4
34 27 115.3 38.5
34 28 115.3 38.6
34 29 115.3 38.6
34 30 115.3 38.8
34 31 115.3 38.9
34 32 115.3 39.0
34 33 115.3 39.1
34 34 115.3 39.1
34 35 115.3 39.2
34 36 115.3 39.4
34 37 115.3 39.5
34 38 115.3 39.6
34 39 115.3 39.6
34 40 115.3 39.8
34 41 115.3 39.9
35 26 115.5 38.4
35 27 115.5 38.5
35 28 115.5 38.6
35 29 115.5 38.6
35 30 115.5 38.8
35 31 115.5 38.9
35 32 115.5 39.0
35 33 115.5 39.1
35 34 115.5 39.1
35 35 115.5 39.2
35 36 115.5 39.4
35 37 115.5 39.5
35 38 115.5 39.6
35 39 115.5 39.6
35 41 115.5 39.9
36 26 115.5 38.4
36 27 115.5 38.5
36 28 115.5 38.6
36 29 115.5 38.6
36 30 115.5 38.8
36 31 115.5 38.9
36 32 115.5 39.0
36 33 115.5 39.1
36 34 115.5 39.1
36 35 115.5 39.2
36 36 115.5 39.4
36 37 115.5 39.5
36 38 115.5 39.6
37 26 115.6 38.4
37 27 115.6 38.5
37 28 115.6 38.6
37 29 115.6 38.6
37 30 115.6 38.8
37 31 115.6 38.9
37 32 115.6 39.0
37 33 115.6 39.1
37 34 115.6 39.1
37 35 115.6 39.2
37 36 115.6 39.4
37 37 115.6 39.5
37 38 115.6 39.6
38 28 115.8 38.6
38 29 115.8 38.6
38 30 115.8 38.8
38 31 115.8 38.9
38 32 115.8 39.0
38 33 115.8 39.1
38 34 115.8 39.1
38 35 115.8 39.2
38 36 115.8 39.4
38 37 115.8 39.5
39 28 115.8 38.6
39 29 115.8 38.6
39 30 115.8 38.8
39 31 115.8 38.9
39 32 115.8 39.0
39 33 115.8 39.1
39 34 115.8 39.1
39 35 115.8 39.2
39 36 115.8 39.4
39 37 115.8 39.5
39 38 115.8 39.6
40 29 116.0 38.6
40 31 116.0 38.9
40 32 116.0 39.0
40 33 116.0 39.1
40 34 116.0 39.1
40 35 116.0 39.2
40 36 116.0 39.4
40 37 116.0 39.5
40 38 116.0 39.6
41 31 116.0 38.9
41 32 116.0 39.0
41 33 116.0 39.1
41 34 116.0 39.1
41 35 116.0 39.2
41 36 116.0 39.4
41 37 116.0 39.5
41 38 116.0 39.6
42 32 116.1 39.0
42 33 116.1 39.1
42 34 116.1 39.1
42 35 116.1 39.2
42 36 116.1 39.4
42 38 116.1 39.6
43 32 116.2 39.0
43 33 116.2 39.1
