x  y long lat
35 40 115.5 39.8
35 42 115.5 40.0
36 39 115.5 39.6
36 40 115.5 39.8
36 41 115.5 39.9
36 42 115.5 40.0
36 43 115.5 40.1
37 39 115.6 39.6
37 40 115.6 39.8
37 41 115.6 39.9
37 42 115.6 40.0
37 43 115.6 40.1
38 38 115.8 39.6
38 39 115.8 39.6
38 40 115.8 39.8
38 41 115.8 39.9
38 42 115.8 40.0
38 43 115.8 40.1
38 44 115.8 40.1
39 39 115.8 39.6
39 40 115.8 39.8
39 41 115.8 39.9
39 42 115.8 40.0
39 43 115.8 40.1
39 44 115.8 40.1
39 47 115.8 40.5
39 48 115.8 40.6
40 39 116.0 39.6
40 40 116.0 39.8
40 41 116.0 39.9
40 42 116.0 40.0
40 43 116.0 40.1
40 44 116.0 40.1
40 45 116.0 40.2
40 46 116.0 40.4
40 47 116.0 40.5
40 48 116.0 40.6
41 39 116.0 39.6
41 40 116.0 39.8
41 41 116.0 39.9
41 42 116.0 40.0
41 43 116.0 40.1
41 44 116.0 40.1
41 45 116.0 40.2
41 46 116.0 40.4
41 47 116.0 40.5
41 48 116.0 40.6
42 39 116.1 39.6
42 40 116.1 39.8
42 41 116.1 39.9
42 42 116.1 40.0
42 43 116.1 40.1
42 44 116.1 40.1
42 45 116.1 40.2
42 46 116.1 40.4
42 47 116.1 40.5
42 48 116.1 40.6
42 49 116.1 40.7
43 38 116.2 39.6
43 39 116.2 39.6
43 40 116.2 39.8
43 41 116.2 39.9
43 42 116.2 40.0
43 43 116.2 40.1
43 44 116.2 40.1
43 45 116.2 40.2
43 46 116.2 40.4
43 47 116.2 40.5
43 48 116.2 40.6
43 49 116.2 40.7
43 50 116.2 40.8
44 37 116.3 39.5
44 38 116.3 39.6
44 39 116.3 39.6
44 40 116.3 39.8
44 41 116.3 39.9
44 42 116.3 40.0
44 43 116.3 40.1
44 44 116.3 40.1
44 45 116.3 40.2
44 46 116.3 40.4
44 47 116.3 40.5
44 48 116.3 40.6
44 49 116.3 40.7
44 50 116.3 40.8
45 38 116.5 39.6
45 39 116.5 39.6
45 40 116.5 39.8
45 41 116.5 39.9
45 42 116.5 40.0
45 43 116.5 40.1
45 44 116.5 40.1
45 45 116.5 40.2
45 46 116.5 40.4
45 47 116.5 40.5
45 48 116.5 40.6
45 49 116.5 40.7
45 50 116.5 40.8
45 51 116.5 40.9
45 52 116.5 41.0
46 39 116.5 39.6
46 40 116.5 39.8
46 41 116.5 39.9
46 42 116.5 40.0
46 43 116.5 40.1
46 44 116.5 40.1
46 45 116.5 40.2
46 46 116.5 40.4
46 47 116.5 40.5
46 48 116.5 40.6
46 49 116.5 40.7
46 50 116.5 40.8
46 51 116.5 40.9
46 52 116.5 41.0
47 39 116.6 39.6
47 40 116.6 39.8
47 41 116.6 39.9
47 42 116.6 40.0
47 43 116.6 40.1
47 44 116.6 40.1
47 45 116.6 40.2
47 46 116.6 40.4
47 47 116.6 40.5
47 48 116.6 40.6
47 49 116.6 40.7
47 50 116.6 40.8
47 51 116.6 40.9
47 52 116.6 41.0
47 53 116.6 41.1
48 39 116.8 39.6
48 40 116.8 39.8
48 41 116.8 39.9
48 42 116.8 40.0
48 43 116.8 40.1
48 44 116.8 40.1
48 45 116.8 40.2
48 46 116.8 40.4
48 47 116.8 40.5
48 48 116.8 40.6
48 49 116.8 40.7
48 50 116.8 40.8
48 51 116.8 40.9
49 40 116.8 39.8
49 41 116.8 39.9
49 43 116.8 40.1
49 44 116.8 40.1
49 45 116.8 40.2
49 46 116.8 40.4
49 47 116.8 40.5
49 48 116.8 40.6
49 49 116.8 40.7
49 50 116.8 40.8
50 43 117.0 40.1
50 44 117.0 40.1
50 45 117.0 40.2
50 46 117.0 40.4
50 47 117.0 40.5
50 48 117.0 40.6
50 49 117.0 40.7
51 44 117.0 40.1
51 45 117.0 40.2
51 46 117.0 40.4
51 47 117.0 40.5
51 48 117.0 40.6
51 49 117.0 40.7
52 44 117.1 40.1
52 45 117.1 40.2
52 46 117.1 40.4
52 47 117.1 40.5
52 48 117.1 40.6
52 49 117.1 40.7
53 44 117.2 40.1
53 45 117.2 40.2
53 49 117.2 40.7
54 49 117.3 40.7
