x  y long lat
38 27 115.8 38.5
39 26 115.8 38.4
39 27 115.8 38.5
40 24 116.0 38.1
40 25 116.0 38.2
40 26 116.0 38.4
40 27 116.0 38.5
40 28 116.0 38.6
40 30 116.0 38.8
41 23 116.0 38.1
41 24 116.0 38.1
41 25 116.0 38.2
41 26 116.0 38.4
41 27 116.0 38.5
41 28 116.0 38.6
41 29 116.0 38.6
41 30 116.0 38.8
42 22 116.1 38.0
42 23 116.1 38.1
42 24 116.1 38.1
42 25 116.1 38.2
42 26 116.1 38.4
42 27 116.1 38.5
42 28 116.1 38.6
42 29 116.1 38.6
42 30 116.1 38.8
42 31 116.1 38.9
43 23 116.2 38.1
43 24 116.2 38.1
43 25 116.2 38.2
43 26 116.2 38.4
43 27 116.2 38.5
43 28 116.2 38.6
43 29 116.2 38.6
43 30 116.2 38.8
44 23 116.3 38.1
44 24 116.3 38.1
44 25 116.3 38.2
44 26 116.3 38.4
44 27 116.3 38.5
44 28 116.3 38.6
44 29 116.3 38.6
44 30 116.3 38.8
45 18 116.5 37.6
45 19 116.5 37.6
45 20 116.5 37.8
45 23 116.5 38.1
45 24 116.5 38.1
45 25 116.5 38.2
45 26 116.5 38.4
45 27 116.5 38.5
46 19 116.5 37.6
46 20 116.5 37.8
46 21 116.5 37.9
46 23 116.5 38.1
46 24 116.5 38.1
46 25 116.5 38.2
46 26 116.5 38.4
46 27 116.5 38.5
47 20 116.6 37.8
47 21 116.6 37.9
47 22 116.6 38.0
47 23 116.6 38.1
47 24 116.6 38.1
47 25 116.6 38.2
47 26 116.6 38.4
47 27 116.6 38.5
47 28 116.6 38.6
48 21 116.8 37.9
48 22 116.8 38.0
48 23 116.8 38.1
48 24 116.8 38.1
48 25 116.8 38.2
48 26 116.8 38.4
48 27 116.8 38.5
48 28 116.8 38.6
49 21 116.8 37.9
49 22 116.8 38.0
49 23 116.8 38.1
49 24 116.8 38.1
49 25 116.8 38.2
49 26 116.8 38.4
49 27 116.8 38.5
49 28 116.8 38.6
49 29 116.8 38.6
50 21 117.0 37.9
50 22 117.0 38.0
50 23 117.0 38.1
50 24 117.0 38.1
50 25 117.0 38.2
50 26 117.0 38.4
50 27 117.0 38.5
50 28 117.0 38.6
50 29 117.0 38.6
51 21 117.0 37.9
51 22 117.0 38.0
51 23 117.0 38.1
51 24 117.0 38.1
51 25 117.0 38.2
51 26 117.0 38.4
51 27 117.0 38.5
51 28 117.0 38.6
51 29 117.0 38.6
52 21 117.1 37.9
52 22 117.1 38.0
52 23 117.1 38.1
52 24 117.1 38.1
52 25 117.1 38.2
52 26 117.1 38.4
52 27 117.1 38.5
52 28 117.1 38.6
53 21 117.2 37.9
53 22 117.2 38.0
53 23 117.2 38.1
53 24 117.2 38.1
53 25 117.2 38.2
53 26 117.2 38.4
53 27 117.2 38.5
53 28 117.2 38.6
54 22 117.3 38.0
54 23 117.3 38.1
54 24 117.3 38.1
54 25 117.3 38.2
54 26 117.3 38.4
54 27 117.3 38.5
54 28 117.3 38.6
55 22 117.5 38.0
55 23 117.5 38.1
55 24 117.5 38.1
55 25 117.5 38.2
55 26 117.5 38.4
55 27 117.5 38.5
55 28 117.5 38.6
56 23 117.5 38.1
56 24 117.5 38.1
56 25 117.5 38.2
56 26 117.5 38.4
56 27 117.5 38.5
56 28 117.5 38.6
57 24 117.6 38.1
57 25 117.6 38.2
57 26 117.6 38.4
57 27 117.6 38.5
58 24 117.8 38.1
58 25 117.8 38.2
