x  y long lat
40 59 116.0 41.7
41 57 116.0 41.5
41 58 116.0 41.6
41 59 116.0 41.7
42 57 116.1 41.5
42 58 116.1 41.6
42 59 116.1 41.7
42 60 116.1 41.8
42 61 116.1 41.9
43 54 116.2 41.2
43 55 116.2 41.2
43 56 116.2 41.4
43 57 116.2 41.5
43 58 116.2 41.6
43 59 116.2 41.7
43 60 116.2 41.8
43 61 116.2 41.9
44 53 116.3 41.1
44 54 116.3 41.2
44 55 116.3 41.2
44 56 116.3 41.4
44 57 116.3 41.5
44 58 116.3 41.6
44 59 116.3 41.7
44 60 116.3 41.8
44 61 116.3 41.9
44 62 116.3 42.0
45 53 116.5 41.1
45 54 116.5 41.2
45 55 116.5 41.2
45 56 116.5 41.4
45 57 116.5 41.5
45 58 116.5 41.6
45 59 116.5 41.7
45 60 116.5 41.8
45 61 116.5 41.9
46 53 116.5 41.1
46 54 116.5 41.2
46 55 116.5 41.2
46 56 116.5 41.4
46 57 116.5 41.5
46 58 116.5 41.6
46 59 116.5 41.7
46 60 116.5 41.8
46 61 116.5 41.9
47 54 116.6 41.2
47 55 116.6 41.2
47 56 116.6 41.4
47 57 116.6 41.5
47 58 116.6 41.6
47 59 116.6 41.7
47 60 116.6 41.8
47 61 116.6 41.9
48 52 116.8 41.0
48 53 116.8 41.1
48 54 116.8 41.2
48 55 116.8 41.2
48 56 116.8 41.4
48 57 116.8 41.5
48 58 116.8 41.6
48 59 116.8 41.7
48 60 116.8 41.8
48 61 116.8 41.9
48 62 116.8 42.0
49 51 116.8 40.9
49 52 116.8 41.0
49 53 116.8 41.1
49 54 116.8 41.2
49 55 116.8 41.2
49 56 116.8 41.4
49 57 116.8 41.5
49 58 116.8 41.6
49 59 116.8 41.7
49 60 116.8 41.8
49 61 116.8 41.9
49 62 116.8 42.0
49 64 116.8 42.2
50 50 117.0 40.8
50 51 117.0 40.9
50 52 117.0 41.0
50 53 117.0 41.1
50 54 117.0 41.2
50 55 117.0 41.2
50 56 117.0 41.4
50 57 117.0 41.5
50 58 117.0 41.6
50 59 117.0 41.7
50 60 117.0 41.8
50 61 117.0 41.9
50 62 117.0 42.0
50 63 117.0 42.1
50 64 117.0 42.2
50 65 117.0 42.2
50 66 117.0 42.4
51 50 117.0 40.8
51 51 117.0 40.9
51 52 117.0 41.0
51 53 117.0 41.1
51 54 117.0 41.2
51 55 117.0 41.2
51 56 117.0 41.4
51 57 117.0 41.5
51 58 117.0 41.6
51 59 117.0 41.7
51 60 117.0 41.8
51 61 117.0 41.9
51 62 117.0 42.0
51 63 117.0 42.1
51 64 117.0 42.2
51 65 117.0 42.2
51 66 117.0 42.4
