x  y long lat
16 9 113.5 36.6
16 10 113.5 36.8
17 7 113.6 36.5
17 8 113.6 36.6
17 9 113.6 36.6
17 10 113.6 36.8
18 7 113.8 36.5
18 8 113.8 36.6
18 9 113.8 36.6
18 10 113.8 36.8
18 11 113.8 36.9
19 7 113.8 36.5
19 8 113.8 36.6
19 9 113.8 36.6
19 10 113.8 36.8
19 11 113.8 36.9
19 12 113.8 37.0
20 7 114.0 36.5
20 8 114.0 36.6
20 9 114.0 36.6
20 10 114.0 36.8
20 11 114.0 36.9
20 12 114.0 37.0
21 6 114.0 36.4
21 7 114.0 36.5
21 8 114.0 36.6
21 9 114.0 36.6
21 10 114.0 36.8
21 11 114.0 36.9
22 6 114.1 36.4
22 7 114.1 36.5
22 8 114.1 36.6
22 9 114.1 36.6
22 10 114.1 36.8
23 6 114.2 36.4
23 7 114.2 36.5
23 8 114.2 36.6
23 9 114.2 36.6
23 10 114.2 36.8
23 11 114.2 36.9
24 5 114.3 36.2
24 6 114.3 36.4
24 7 114.3 36.5
24 8 114.3 36.6
24 9 114.3 36.6
24 10 114.3 36.8
24 11 114.3 36.9
25 5 114.5 36.2
25 6 114.5 36.4
25 7 114.5 36.5
25 8 114.5 36.6
25 9 114.5 36.6
25 10 114.5 36.8
26 5 114.5 36.2
26 6 114.5 36.4
26 7 114.5 36.5
26 8 114.5 36.6
26 9 114.5 36.6
26 10 114.5 36.8
26 11 114.5 36.9
27 4 114.6 36.1
27 5 114.6 36.2
27 6 114.6 36.4
27 7 114.6 36.5
27 8 114.6 36.6
27 9 114.6 36.6
27 10 114.6 36.8
27 11 114.6 36.9
28 4 114.8 36.1
28 5 114.8 36.2
28 6 114.8 36.4
28 7 114.8 36.5
28 8 114.8 36.6
28 9 114.8 36.6
28 10 114.8 36.8
28 11 114.8 36.9
29 4 114.8 36.1
29 5 114.8 36.2
29 6 114.8 36.4
29 7 114.8 36.5
29 8 114.8 36.6
29 9 114.8 36.6
29 10 114.8 36.8
29 11 114.8 36.9
29 12 114.8 37.0
30 4 115.0 36.1
30 5 115.0 36.2
30 6 115.0 36.4
30 7 115.0 36.5
30 8 115.0 36.6
30 9 115.0 36.6
30 10 115.0 36.8
30 11 115.0 36.9
31 5 115.0 36.2
31 6 115.0 36.4
31 7 115.0 36.5
31 8 115.0 36.6
31 9 115.0 36.6
31 10 115.0 36.8
31 11 115.0 36.9
31 12 115.0 37.0
32 5 115.1 36.2
32 6 115.1 36.4
32 7 115.1 36.5
32 8 115.1 36.6
32 9 115.1 36.6
32 10 115.1 36.8
32 11 115.1 36.9
33 5 115.2 36.2
33 6 115.2 36.4
33 7 115.2 36.5
33 8 115.2 36.6
33 9 115.2 36.6
33 10 115.2 36.8
33 11 115.2 36.9
34 4 115.3 36.1
34 5 115.3 36.2
34 9 115.3 36.6
34 10 115.3 36.8
35 5 115.5 36.2
35 10 115.5 36.8
