x  y long lat
34 17 115.3 37.5
34 19 115.3 37.6
34 20 115.3 37.8
34 24 115.3 38.1
34 25 115.3 38.2
35 17 115.5 37.5
35 18 115.5 37.6
35 19 115.5 37.6
35 20 115.5 37.8
35 21 115.5 37.9
35 24 115.5 38.1
35 25 115.5 38.2
36 16 115.5 37.4
36 17 115.5 37.5
36 18 115.5 37.6
36 19 115.5 37.6
36 20 115.5 37.8
36 21 115.5 37.9
36 22 115.5 38.0
36 23 115.5 38.1
36 24 115.5 38.1
36 25 115.5 38.2
37 16 115.6 37.4
37 17 115.6 37.5
37 18 115.6 37.6
37 19 115.6 37.6
37 20 115.6 37.8
37 21 115.6 37.9
37 22 115.6 38.0
37 23 115.6 38.1
37 24 115.6 38.1
37 25 115.6 38.2
38 15 115.8 37.2
38 16 115.8 37.4
38 17 115.8 37.5
38 18 115.8 37.6
38 19 115.8 37.6
38 20 115.8 37.8
38 21 115.8 37.9
38 22 115.8 38.0
38 23 115.8 38.1
38 24 115.8 38.1
38 25 115.8 38.2
38 26 115.8 38.4
39 14 115.8 37.1
39 15 115.8 37.2
39 16 115.8 37.4
39 17 115.8 37.5
39 18 115.8 37.6
39 19 115.8 37.6
39 20 115.8 37.8
39 21 115.8 37.9
39 22 115.8 38.0
39 23 115.8 38.1
39 24 115.8 38.1
39 25 115.8 38.2
40 15 116.0 37.2
40 16 116.0 37.4
40 17 116.0 37.5
40 18 116.0 37.6
40 19 116.0 37.6
40 20 116.0 37.8
40 21 116.0 37.9
40 22 116.0 38.0
40 23 116.0 38.1
41 17 116.0 37.5
41 18 116.0 37.6
41 19 116.0 37.6
41 20 116.0 37.8
41 21 116.0 37.9
41 22 116.0 38.0
42 17 116.1 37.5
42 18 116.1 37.6
42 19 116.1 37.6
42 20 116.1 37.8
42 21 116.1 37.9
43 18 116.2 37.6
43 19 116.2 37.6
43 20 116.2 37.8
43 21 116.2 37.9
43 22 116.2 38.0
44 19 116.3 37.6
44 20 116.3 37.8
44 21 116.3 37.9
44 22 116.3 38.0
45 21 116.5 37.9
45 22 116.5 38.0
46 22 116.5 38.0
