x  y long lat
42 37 116.1 39.5
43 31 116.2 38.9
43 34 116.2 39.1
43 35 116.2 39.2
43 36 116.2 39.4
43 37 116.2 39.5
44 31 116.3 38.9
44 32 116.3 39.0
44 33 116.3 39.1
44 34 116.3 39.1
44 35 116.3 39.2
44 36 116.3 39.4
45 28 116.5 38.6
45 29 116.5 38.6
45 30 116.5 38.8
45 31 116.5 38.9
45 32 116.5 39.0
45 33 116.5 39.1
45 34 116.5 39.1
45 35 116.5 39.2
45 36 116.5 39.4
45 37 116.5 39.5
46 28 116.5 38.6
46 29 116.5 38.6
46 30 116.5 38.8
46 31 116.5 38.9
46 32 116.5 39.0
46 33 116.5 39.1
46 34 116.5 39.1
46 35 116.5 39.2
46 36 116.5 39.4
46 37 116.5 39.5
46 38 116.5 39.6
47 29 116.6 38.6
47 30 116.6 38.8
47 31 116.6 38.9
47 32 116.6 39.0
47 33 116.6 39.1
47 34 116.6 39.1
47 35 116.6 39.2
47 36 116.6 39.4
47 37 116.6 39.5
47 38 116.6 39.6
48 29 116.8 38.6
48 33 116.8 39.1
48 34 116.8 39.1
48 35 116.8 39.2
48 36 116.8 39.4
48 37 116.8 39.5
48 38 116.8 39.6
49 34 116.8 39.1
49 35 116.8 39.2
49 36 116.8 39.4
49 42 116.8 40.0
50 40 117.0 39.8
50 41 117.0 39.9
50 42 117.0 40.0
51 39 117.0 39.6
51 40 117.0 39.8
51 41 117.0 39.9
51 42 117.0 40.0
51 43 117.0 40.1
52 39 117.1 39.6
52 40 117.1 39.8
52 41 117.1 39.9
52 43 117.1 40.1
53 41 117.2 39.9
