x  y long lat
67 46 118.6 40.4
68 45 118.8 40.2
68 46 118.8 40.4
68 47 118.8 40.5
69 39 118.8 39.6
69 40 118.8 39.8
69 41 118.8 39.9
69 45 118.8 40.2
69 46 118.8 40.4
69 47 118.8 40.5
70 38 119.0 39.6
70 39 119.0 39.6
70 40 119.0 39.8
70 41 119.0 39.9
70 42 119.0 40.0
70 43 119.0 40.1
70 44 119.0 40.1
70 45 119.0 40.2
70 46 119.0 40.4
70 47 119.0 40.5
71 38 119.0 39.6
71 39 119.0 39.6
71 40 119.0 39.8
71 41 119.0 39.9
71 42 119.0 40.0
71 43 119.0 40.1
71 44 119.0 40.1
71 45 119.0 40.2
71 46 119.0 40.4
71 47 119.0 40.5
71 48 119.0 40.6
72 38 119.1 39.6
72 39 119.1 39.6
72 40 119.1 39.8
72 41 119.1 39.9
72 42 119.1 40.0
72 43 119.1 40.1
72 44 119.1 40.1
72 45 119.1 40.2
72 46 119.1 40.4
72 47 119.1 40.5
72 48 119.1 40.6
73 37 119.2 39.5
73 38 119.2 39.6
73 39 119.2 39.6
73 40 119.2 39.8
73 41 119.2 39.9
73 42 119.2 40.0
73 43 119.2 40.1
73 44 119.2 40.1
73 45 119.2 40.2
73 46 119.2 40.4
73 47 119.2 40.5
74 40 119.3 39.8
74 41 119.3 39.9
74 42 119.3 40.0
74 43 119.3 40.1
74 44 119.3 40.1
74 45 119.3 40.2
74 46 119.3 40.4
74 47 119.3 40.5
75 41 119.5 39.9
75 42 119.5 40.0
75 43 119.5 40.1
75 44 119.5 40.1
75 45 119.5 40.2
75 46 119.5 40.4
75 47 119.5 40.5
76 42 119.5 40.0
76 43 119.5 40.1
76 44 119.5 40.1
76 45 119.5 40.2
76 46 119.5 40.4
76 47 119.5 40.5
77 42 119.7 40.0
77 43 119.7 40.1
77 44 119.7 40.1
78 43 119.8 40.1
78 44 119.8 40.1
