x  y long lat
16 26 113.5 38.4
17 25 113.6 38.2
17 26 113.6 38.4
17 27 113.6 38.5
17 28 113.6 38.6
18 25 113.8 38.2
18 26 113.8 38.4
18 27 113.8 38.5
18 28 113.8 38.6
18 29 113.8 38.6
19 24 113.8 38.1
19 25 113.8 38.2
19 26 113.8 38.4
19 27 113.8 38.5
19 28 113.8 38.6
19 29 113.8 38.6
20 22 114.0 38.0
20 23 114.0 38.1
20 24 114.0 38.1
20 25 114.0 38.2
20 26 114.0 38.4
20 27 114.0 38.5
20 28 114.0 38.6
20 29 114.0 38.6
21 17 114.0 37.5
21 20 114.0 37.8
21 21 114.0 37.9
21 22 114.0 38.0
21 23 114.0 38.1
21 24 114.0 38.1
21 25 114.0 38.2
21 26 114.0 38.4
21 27 114.0 38.5
21 28 114.0 38.6
21 29 114.0 38.6
22 18 114.1 37.6
22 19 114.1 37.6
22 20 114.1 37.8
22 21 114.1 37.9
22 22 114.1 38.0
22 23 114.1 38.1
22 24 114.1 38.1
22 25 114.1 38.2
22 26 114.1 38.4
22 27 114.1 38.5
22 28 114.1 38.6
22 29 114.1 38.6
23 18 114.2 37.6
23 19 114.2 37.6
23 20 114.2 37.8
23 21 114.2 37.9
23 22 114.2 38.0
23 23 114.2 38.1
23 24 114.2 38.1
23 25 114.2 38.2
23 26 114.2 38.4
23 27 114.2 38.5
23 28 114.2 38.6
23 29 114.2 38.6
24 18 114.3 37.6
24 19 114.3 37.6
24 20 114.3 37.8
24 21 114.3 37.9
24 22 114.3 38.0
24 23 114.3 38.1
24 24 114.3 38.1
24 25 114.3 38.2
24 26 114.3 38.4
24 27 114.3 38.5
24 28 114.3 38.6
24 29 114.3 38.6
25 19 114.5 37.6
25 20 114.5 37.8
25 21 114.5 37.9
25 22 114.5 38.0
25 23 114.5 38.1
25 24 114.5 38.1
25 25 114.5 38.2
25 26 114.5 38.4
25 27 114.5 38.5
25 28 114.5 38.6
25 29 114.5 38.6
26 19 114.5 37.6
26 20 114.5 37.8
26 21 114.5 37.9
26 22 114.5 38.0
26 23 114.5 38.1
26 24 114.5 38.1
26 25 114.5 38.2
26 26 114.5 38.4
26 27 114.5 38.5
26 28 114.5 38.6
27 19 114.6 37.6
27 20 114.6 37.8
27 21 114.6 37.9
27 22 114.6 38.0
27 23 114.6 38.1
27 24 114.6 38.1
27 25 114.6 38.2
27 26 114.6 38.4
27 27 114.6 38.5
28 19 114.8 37.6
28 20 114.8 37.8
28 21 114.8 37.9
28 22 114.8 38.0
28 23 114.8 38.1
28 24 114.8 38.1
28 25 114.8 38.2
28 26 114.8 38.4
28 27 114.8 38.5
29 20 114.8 37.8
29 21 114.8 37.9
29 22 114.8 38.0
29 23 114.8 38.1
29 24 114.8 38.1
29 25 114.8 38.2
29 26 114.8 38.4
30 20 115.0 37.8
30 21 115.0 37.9
30 22 115.0 38.0
30 23 115.0 38.1
30 24 115.0 38.1
30 25 115.0 38.2
31 20 115.0 37.8
31 21 115.0 37.9
31 22 115.0 38.0
31 23 115.0 38.1
31 24 115.0 38.1
31 25 115.0 38.2
32 21 115.1 37.9
32 22 115.1 38.0
32 23 115.1 38.1
32 24 115.1 38.1
32 25 115.1 38.2
33 19 115.2 37.6
33 20 115.2 37.8
33 21 115.2 37.9
33 22 115.2 38.0
33 23 115.2 38.1
33 24 115.2 38.1
33 25 115.2 38.2
34 21 115.3 37.9
34 22 115.3 38.0
34 23 115.3 38.1
35 22 115.5 38.0
35 23 115.5 38.1
