x  y long lat
56 41 117.5 39.9
56 42 117.5 40.0
57 40 117.6 39.8
57 41 117.6 39.9
57 42 117.6 40.0
57 44 117.6 40.1
58 39 117.8 39.6
58 40 117.8 39.8
58 41 117.8 39.9
58 42 117.8 40.0
58 44 117.8 40.1
59 39 117.8 39.6
59 40 117.8 39.8
59 41 117.8 39.9
59 42 117.8 40.0
59 43 117.8 40.1
59 44 117.8 40.1
59 45 117.8 40.2
60 37 118.0 39.5
60 38 118.0 39.6
60 39 118.0 39.6
60 40 118.0 39.8
60 41 118.0 39.9
60 42 118.0 40.0
60 43 118.0 40.1
60 44 118.0 40.1
60 45 118.0 40.2
61 36 118.0 39.4
61 37 118.0 39.5
61 38 118.0 39.6
61 39 118.0 39.6
61 40 118.0 39.8
61 41 118.0 39.9
61 42 118.0 40.0
61 43 118.0 40.1
61 44 118.0 40.1
61 45 118.0 40.2
62 35 118.1 39.2
62 36 118.1 39.4
62 37 118.1 39.5
62 38 118.1 39.6
62 39 118.1 39.6
62 40 118.1 39.8
62 41 118.1 39.9
62 42 118.1 40.0
62 43 118.1 40.1
62 44 118.1 40.1
62 45 118.1 40.2
62 46 118.1 40.4
63 33 118.2 39.1
63 34 118.2 39.1
63 35 118.2 39.2
63 36 118.2 39.4
63 37 118.2 39.5
63 38 118.2 39.6
63 39 118.2 39.6
63 40 118.2 39.8
63 41 118.2 39.9
63 42 118.2 40.0
63 43 118.2 40.1
63 44 118.2 40.1
63 45 118.2 40.2
63 46 118.2 40.4
63 47 118.2 40.5
64 33 118.3 39.1
64 34 118.3 39.1
64 35 118.3 39.2
64 36 118.3 39.4
64 37 118.3 39.5
64 38 118.3 39.6
64 39 118.3 39.6
64 40 118.3 39.8
64 41 118.3 39.9
64 42 118.3 40.0
64 43 118.3 40.1
64 44 118.3 40.1
64 45 118.3 40.2
64 46 118.3 40.4
65 34 118.5 39.1
65 35 118.5 39.2
65 36 118.5 39.4
65 37 118.5 39.5
65 38 118.5 39.6
65 39 118.5 39.6
65 40 118.5 39.8
65 41 118.5 39.9
65 42 118.5 40.0
65 43 118.5 40.1
65 44 118.5 40.1
65 45 118.5 40.2
65 46 118.5 40.4
66 35 118.5 39.2
66 36 118.5 39.4
66 37 118.5 39.5
66 38 118.5 39.6
66 39 118.5 39.6
66 40 118.5 39.8
66 41 118.5 39.9
66 42 118.5 40.0
66 43 118.5 40.1
66 44 118.5 40.1
66 45 118.5 40.2
67 35 118.6 39.2
67 36 118.6 39.4
67 37 118.6 39.5
67 38 118.6 39.6
67 39 118.6 39.6
67 40 118.6 39.8
67 41 118.6 39.9
67 42 118.6 40.0
67 43 118.6 40.1
67 44 118.6 40.1
67 45 118.6 40.2
68 34 118.8 39.1
68 35 118.8 39.2
68 36 118.8 39.4
68 37 118.8 39.5
68 38 118.8 39.6
68 39 118.8 39.6
68 40 118.8 39.8
68 41 118.8 39.9
68 42 118.8 40.0
68 43 118.8 40.1
68 44 118.8 40.1
69 35 118.8 39.2
69 36 118.8 39.4
69 37 118.8 39.5
69 38 118.8 39.6
69 42 118.8 40.0
69 43 118.8 40.1
69 44 118.8 40.1
70 35 119.0 39.2
70 36 119.0 39.4
70 37 119.0 39.5
71 35 119.0 39.2
71 36 119.0 39.4
71 37 119.0 39.5
72 36 119.1 39.4
72 37 119.1 39.5
