x  y long lat
48 30 116.8 38.8
48 31 116.8 38.9
48 32 116.8 39.0
49 30 116.8 38.8
49 31 116.8 38.9
49 32 116.8 39.0
49 33 116.8 39.1
49 37 116.8 39.5
49 38 116.8 39.6
49 39 116.8 39.6
50 30 117.0 38.8
50 31 117.0 38.9
50 32 117.0 39.0
50 33 117.0 39.1
50 34 117.0 39.1
50 35 117.0 39.2
50 36 117.0 39.4
50 37 117.0 39.5
50 38 117.0 39.6
50 39 117.0 39.6
51 30 117.0 38.8
51 31 117.0 38.9
51 32 117.0 39.0
51 33 117.0 39.1
51 34 117.0 39.1
51 35 117.0 39.2
51 36 117.0 39.4
51 37 117.0 39.5
51 38 117.0 39.6
52 29 117.1 38.6
52 30 117.1 38.8
52 31 117.1 38.9
52 32 117.1 39.0
52 33 117.1 39.1
52 34 117.1 39.1
52 35 117.1 39.2
52 36 117.1 39.4
52 37 117.1 39.5
52 38 117.1 39.6
52 42 117.1 40.0
53 29 117.2 38.6
53 30 117.2 38.8
53 31 117.2 38.9
53 32 117.2 39.0
53 33 117.2 39.1
53 34 117.2 39.1
53 35 117.2 39.2
53 36 117.2 39.4
53 37 117.2 39.5
53 38 117.2 39.6
53 39 117.2 39.6
53 40 117.2 39.8
53 42 117.2 40.0
53 43 117.2 40.1
54 29 117.3 38.6
54 30 117.3 38.8
54 31 117.3 38.9
54 32 117.3 39.0
54 33 117.3 39.1
54 34 117.3 39.1
54 35 117.3 39.2
54 36 117.3 39.4
54 37 117.3 39.5
54 38 117.3 39.6
54 39 117.3 39.6
54 40 117.3 39.8
54 41 117.3 39.9
54 42 117.3 40.0
54 43 117.3 40.1
54 44 117.3 40.1
55 29 117.5 38.6
55 30 117.5 38.8
55 31 117.5 38.9
55 32 117.5 39.0
55 33 117.5 39.1
55 34 117.5 39.1
55 35 117.5 39.2
55 36 117.5 39.4
55 37 117.5 39.5
55 38 117.5 39.6
55 39 117.5 39.6
55 40 117.5 39.8
55 41 117.5 39.9
55 42 117.5 40.0
55 43 117.5 40.1
55 44 117.5 40.1
56 30 117.5 38.8
56 31 117.5 38.9
56 32 117.5 39.0
56 33 117.5 39.1
56 34 117.5 39.1
56 35 117.5 39.2
56 36 117.5 39.4
56 37 117.5 39.5
56 38 117.5 39.6
56 39 117.5 39.6
56 40 117.5 39.8
56 43 117.5 40.1
56 44 117.5 40.1
57 32 117.6 39.0
57 33 117.6 39.1
57 34 117.6 39.1
57 35 117.6 39.2
57 36 117.6 39.4
57 37 117.6 39.5
57 38 117.6 39.6
57 39 117.6 39.6
57 43 117.6 40.1
58 34 117.8 39.1
58 35 117.8 39.2
58 36 117.8 39.4
58 37 117.8 39.5
58 38 117.8 39.6
58 43 117.8 40.1
59 35 117.8 39.2
59 36 117.8 39.4
59 37 117.8 39.5
59 38 117.8 39.6
60 35 118.0 39.2
60 36 118.0 39.4
61 35 118.0 39.2
