x  y long lat
19 13 113.8 37.1
19 14 113.8 37.1
20 13 114.0 37.1
20 14 114.0 37.1
20 15 114.0 37.2
20 16 114.0 37.4
21 12 114.0 37.0
21 13 114.0 37.1
21 14 114.0 37.1
21 15 114.0 37.2
21 16 114.0 37.4
22 11 114.1 36.9
22 12 114.1 37.0
22 13 114.1 37.1
22 14 114.1 37.1
22 15 114.1 37.2
22 16 114.1 37.4
22 17 114.1 37.5
23 12 114.2 37.0
23 13 114.2 37.1
23 14 114.2 37.1
23 15 114.2 37.2
23 16 114.2 37.4
23 17 114.2 37.5
24 12 114.3 37.0
24 13 114.3 37.1
24 14 114.3 37.1
24 15 114.3 37.2
24 16 114.3 37.4
24 17 114.3 37.5
25 11 114.5 36.9
25 12 114.5 37.0
25 13 114.5 37.1
25 14 114.5 37.1
25 15 114.5 37.2
25 16 114.5 37.4
25 17 114.5 37.5
25 18 114.5 37.6
26 12 114.5 37.0
26 13 114.5 37.1
26 14 114.5 37.1
26 15 114.5 37.2
26 16 114.5 37.4
26 17 114.5 37.5
26 18 114.5 37.6
27 12 114.6 37.0
27 13 114.6 37.1
27 14 114.6 37.1
27 15 114.6 37.2
27 16 114.6 37.4
27 17 114.6 37.5
27 18 114.6 37.6
28 12 114.8 37.0
28 13 114.8 37.1
28 14 114.8 37.1
28 15 114.8 37.2
28 16 114.8 37.4
28 17 114.8 37.5
28 18 114.8 37.6
29 13 114.8 37.1
29 14 114.8 37.1
29 15 114.8 37.2
29 16 114.8 37.4
29 17 114.8 37.5
29 18 114.8 37.6
29 19 114.8 37.6
30 12 115.0 37.0
30 13 115.0 37.1
30 14 115.0 37.1
30 15 115.0 37.2
30 16 115.0 37.4
30 17 115.0 37.5
30 18 115.0 37.6
30 19 115.0 37.6
31 13 115.0 37.1
31 14 115.0 37.1
31 15 115.0 37.2
31 16 115.0 37.4
31 17 115.0 37.5
31 18 115.0 37.6
31 19 115.0 37.6
32 12 115.1 37.0
32 13 115.1 37.1
32 14 115.1 37.1
32 15 115.1 37.2
32 16 115.1 37.4
32 17 115.1 37.5
32 18 115.1 37.6
32 19 115.1 37.6
32 20 115.1 37.8
33 12 115.2 37.0
33 13 115.2 37.1
33 14 115.2 37.1
33 15 115.2 37.2
33 16 115.2 37.4
33 17 115.2 37.5
33 18 115.2 37.6
34 11 115.3 36.9
34 12 115.3 37.0
34 13 115.3 37.1
34 14 115.3 37.1
34 15 115.3 37.2
34 16 115.3 37.4
34 18 115.3 37.6
35 11 115.5 36.9
35 12 115.5 37.0
35 13 115.5 37.1
35 14 115.5 37.1
35 15 115.5 37.2
35 16 115.5 37.4
36 11 115.5 36.9
36 12 115.5 37.0
36 13 115.5 37.1
36 14 115.5 37.1
36 15 115.5 37.2
37 11 115.6 36.9
37 12 115.6 37.0
37 13 115.6 37.1
37 14 115.6 37.1
37 15 115.6 37.2
38 12 115.8 37.0
38 13 115.8 37.1
38 14 115.8 37.1
