x  y long lat
20 53 114.0 41.1
20 54 114.0 41.2
20 56 114.0 41.4
20 57 114.0 41.5
21 42 114.0 40.0
21 43 114.0 40.1
21 52 114.0 41.0
21 53 114.0 41.1
21 54 114.0 41.2
21 55 114.0 41.2
21 56 114.0 41.4
21 57 114.0 41.5
22 42 114.1 40.0
22 43 114.1 40.1
22 44 114.1 40.1
22 50 114.1 40.8
22 51 114.1 40.9
22 52 114.1 41.0
22 53 114.1 41.1
22 54 114.1 41.2
22 55 114.1 41.2
22 56 114.1 41.4
22 57 114.1 41.5
23 42 114.2 40.0
23 43 114.2 40.1
23 44 114.2 40.1
23 49 114.2 40.7
23 50 114.2 40.8
23 51 114.2 40.9
23 52 114.2 41.0
23 53 114.2 41.1
23 54 114.2 41.2
23 55 114.2 41.2
23 56 114.2 41.4
23 57 114.2 41.5
23 58 114.2 41.6
23 59 114.2 41.7
23 60 114.2 41.8
24 42 114.3 40.0
24 43 114.3 40.1
24 44 114.3 40.1
24 47 114.3 40.5
24 48 114.3 40.6
24 49 114.3 40.7
24 50 114.3 40.8
24 51 114.3 40.9
24 52 114.3 41.0
24 53 114.3 41.1
24 54 114.3 41.2
24 55 114.3 41.2
24 56 114.3 41.4
24 57 114.3 41.5
24 58 114.3 41.6
24 59 114.3 41.7
24 60 114.3 41.8
24 61 114.3 41.9
25 39 114.5 39.6
25 40 114.5 39.8
25 41 114.5 39.9
25 42 114.5 40.0
25 43 114.5 40.1
25 44 114.5 40.1
25 45 114.5 40.2
25 47 114.5 40.5
25 48 114.5 40.6
25 49 114.5 40.7
25 50 114.5 40.8
25 51 114.5 40.9
25 52 114.5 41.0
25 53 114.5 41.1
25 54 114.5 41.2
25 55 114.5 41.2
25 56 114.5 41.4
25 57 114.5 41.5
25 58 114.5 41.6
25 59 114.5 41.7
25 60 114.5 41.8
25 61 114.5 41.9
25 62 114.5 42.0
26 39 114.5 39.6
26 40 114.5 39.8
26 41 114.5 39.9
26 42 114.5 40.0
26 43 114.5 40.1
26 44 114.5 40.1
26 45 114.5 40.2
26 46 114.5 40.4
26 47 114.5 40.5
26 48 114.5 40.6
26 49 114.5 40.7
26 50 114.5 40.8
26 51 114.5 40.9
26 52 114.5 41.0
26 53 114.5 41.1
26 54 114.5 41.2
26 55 114.5 41.2
26 56 114.5 41.4
26 57 114.5 41.5
26 58 114.5 41.6
26 59 114.5 41.7
26 60 114.5 41.8
26 61 114.5 41.9
26 62 114.5 42.0
26 63 114.5 42.1
27 39 114.6 39.6
27 40 114.6 39.8
27 41 114.6 39.9
27 42 114.6 40.0
27 43 114.6 40.1
27 44 114.6 40.1
27 45 114.6 40.2
27 46 114.6 40.4
27 47 114.6 40.5
27 48 114.6 40.6
27 49 114.6 40.7
27 50 114.6 40.8
27 51 114.6 40.9
27 52 114.6 41.0
27 53 114.6 41.1
27 54 114.6 41.2
27 55 114.6 41.2
27 56 114.6 41.4
27 57 114.6 41.5
27 58 114.6 41.6
27 59 114.6 41.7
27 60 114.6 41.8
27 61 114.6 41.9
27 62 114.6 42.0
27 63 114.6 42.1
28 39 114.8 39.6
28 40 114.8 39.8
28 41 114.8 39.9
28 42 114.8 40.0
28 43 114.8 40.1
28 44 114.8 40.1
28 45 114.8 40.2
28 46 114.8 40.4
28 47 114.8 40.5
28 48 114.8 40.6
28 49 114.8 40.7
28 50 114.8 40.8
28 51 114.8 40.9
28 52 114.8 41.0
28 53 114.8 41.1
28 54 114.8 41.2
28 55 114.8 41.2
28 56 114.8 41.4
28 57 114.8 41.5
28 58 114.8 41.6
28 59 114.8 41.7
28 60 114.8 41.8
28 61 114.8 41.9
28 62 114.8 42.0
28 63 114.8 42.1
29 39 114.8 39.6
29 40 114.8 39.8
29 41 114.8 39.9
29 42 114.8 40.0
29 43 114.8 40.1
29 44 114.8 40.1
29 45 114.8 40.2
29 46 114.8 40.4
29 47 114.8 40.5
29 48 114.8 40.6
29 49 114.8 40.7
29 50 114.8 40.8
29 51 114.8 40.9
29 52 114.8 41.0
29 53 114.8 41.1
29 54 114.8 41.2
29 55 114.8 41.2
29 56 114.8 41.4
29 57 114.8 41.5
29 58 114.8 41.6
29 59 114.8 41.7
29 60 114.8 41.8
29 61 114.8 41.9
29 62 114.8 42.0
30 40 115.0 39.8
30 41 115.0 39.9
30 42 115.0 40.0
30 43 115.0 40.1
30 44 115.0 40.1
30 45 115.0 40.2
30 46 115.0 40.4
30 47 115.0 40.5
30 48 115.0 40.6
30 49 115.0 40.7
30 50 115.0 40.8
30 51 115.0 40.9
30 52 115.0 41.0
30 53 115.0 41.1
30 54 115.0 41.2
30 55 115.0 41.2
30 56 115.0 41.4
30 57 115.0 41.5
30 58 115.0 41.6
31 40 115.0 39.8
31 41 115.0 39.9
31 42 115.0 40.0
31 43 115.0 40.1
31 44 115.0 40.1
31 45 115.0 40.2
31 46 115.0 40.4
31 47 115.0 40.5
31 48 115.0 40.6
31 49 115.0 40.7
31 50 115.0 40.8
31 51 115.0 40.9
31 52 115.0 41.0
31 53 115.0 41.1
31 54 115.0 41.2
31 55 115.0 41.2
31 56 115.0 41.4
31 57 115.0 41.5
31 58 115.0 41.6
32 40 115.1 39.8
32 41 115.1 39.9
32 42 115.1 40.0
32 43 115.1 40.1
32 44 115.1 40.1
32 45 115.1 40.2
32 46 115.1 40.4
32 47 115.1 40.5
32 48 115.1 40.6
32 49 115.1 40.7
32 50 115.1 40.8
32 51 115.1 40.9
32 52 115.1 41.0
32 53 115.1 41.1
32 54 115.1 41.2
32 55 115.1 41.2
32 56 115.1 41.4
32 57 115.1 41.5
32 58 115.1 41.6
33 40 115.2 39.8
33 41 115.2 39.9
33 42 115.2 40.0
33 43 115.2 40.1
33 44 115.2 40.1
33 45 115.2 40.2
33 46 115.2 40.4
33 47 115.2 40.5
33 48 115.2 40.6
33 49 115.2 40.7
33 50 115.2 40.8
33 51 115.2 40.9
33 52 115.2 41.0
33 53 115.2 41.1
33 54 115.2 41.2
33 55 115.2 41.2
33 56 115.2 41.4
33 57 115.2 41.5
33 58 115.2 41.6
34 42 115.3 40.0
34 43 115.3 40.1
34 44 115.3 40.1
34 45 115.3 40.2
34 46 115.3 40.4
34 47 115.3 40.5
34 48 115.3 40.6
34 49 115.3 40.7
34 50 115.3 40.8
34 51 115.3 40.9
34 52 115.3 41.0
34 53 115.3 41.1
34 54 115.3 41.2
34 55 115.3 41.2
34 56 115.3 41.4
34 57 115.3 41.5
34 58 115.3 41.6
34 59 115.3 41.7
35 43 115.5 40.1
35 44 115.5 40.1
35 45 115.5 40.2
35 46 115.5 40.4
35 47 115.5 40.5
35 48 115.5 40.6
35 49 115.5 40.7
35 50 115.5 40.8
35 51 115.5 40.9
35 52 115.5 41.0
35 53 115.5 41.1
35 54 115.5 41.2
35 55 115.5 41.2
35 56 115.5 41.4
35 57 115.5 41.5
35 58 115.5 41.6
35 59 115.5 41.7
36 44 115.5 40.1
36 45 115.5 40.2
36 46 115.5 40.4
36 47 115.5 40.5
36 48 115.5 40.6
36 49 115.5 40.7
36 50 115.5 40.8
36 51 115.5 40.9
36 52 115.5 41.0
36 53 115.5 41.1
36 54 115.5 41.2
36 55 115.5 41.2
36 56 115.5 41.4
36 57 115.5 41.5
36 58 115.5 41.6
36 59 115.5 41.7
36 60 115.5 41.8
37 44 115.6 40.1
37 45 115.6 40.2
37 46 115.6 40.4
37 47 115.6 40.5
37 48 115.6 40.6
37 49 115.6 40.7
37 50 115.6 40.8
37 51 115.6 40.9
37 52 115.6 41.0
37 53 115.6 41.1
37 54 115.6 41.2
37 55 115.6 41.2
37 56 115.6 41.4
37 57 115.6 41.5
37 58 115.6 41.6
37 59 115.6 41.7
37 60 115.6 41.8
38 45 115.8 40.2
38 46 115.8 40.4
38 47 115.8 40.5
38 48 115.8 40.6
38 49 115.8 40.7
38 50 115.8 40.8
38 51 115.8 40.9
38 52 115.8 41.0
38 53 115.8 41.1
38 54 115.8 41.2
38 55 115.8 41.2
38 56 115.8 41.4
38 57 115.8 41.5
38 58 115.8 41.6
38 59 115.8 41.7
38 60 115.8 41.8
38 61 115.8 41.9
39 45 115.8 40.2
39 46 115.8 40.4
39 49 115.8 40.7
39 50 115.8 40.8
39 51 115.8 40.9
39 52 115.8 41.0
39 53 115.8 41.1
39 54 115.8 41.2
39 55 115.8 41.2
39 56 115.8 41.4
39 57 115.8 41.5
39 58 115.8 41.6
39 59 115.8 41.7
39 60 115.8 41.8
39 61 115.8 41.9
40 49 116.0 40.7
40 50 116.0 40.8
40 51 116.0 40.9
40 52 116.0 41.0
40 53 116.0 41.1
40 54 116.0 41.2
40 55 116.0 41.2
40 56 116.0 41.4
40 57 116.0 41.5
40 58 116.0 41.6
40 60 116.0 41.8
40 61 116.0 41.9
41 49 116.0 40.7
41 50 116.0 40.8
41 51 116.0 40.9
41 52 116.0 41.0
41 53 116.0 41.1
41 54 116.0 41.2
41 55 116.0 41.2
41 56 116.0 41.4
41 60 116.0 41.8
42 50 116.1 40.8
42 51 116.1 40.9
42 52 116.1 41.0
42 53 116.1 41.1
42 54 116.1 41.2
42 55 116.1 41.2
42 56 116.1 41.4
43 51 116.2 40.9
43 52 116.2 41.0
43 53 116.2 41.1
44 51 116.3 40.9
44 52 116.3 41.0
