x     y      long    lat
36    26     113.5   38.4
37    25     113.6   38.2
37    26     113.6   38.4
37    27     113.6   38.5
37    28     113.6   38.6
38    25     113.8   38.2
38    26     113.8   38.4
38    27     113.8   38.5
38    28     113.8   38.6
38    29     113.8   38.6
39    24     113.8   38.1
39    25     113.8   38.2
39    26     113.8   38.4
39    27     113.8   38.5
39    28     113.8   38.6
39    29     113.8   38.6
40    22     114.0   38.0
40    23     114.0   38.1
40    24     114.0   38.1
40    25     114.0   38.2
40    26     114.0   38.4
40    27     114.0   38.5
40    28     114.0   38.6
40    29     114.0   38.6
41    17     114.0   37.5
41    20     114.0   37.8
41    21     114.0   37.9
41    22     114.0   38.0
41    23     114.0   38.1
41    24     114.0   38.1
41    25     114.0   38.2
41    26     114.0   38.4
41    27     114.0   38.5
41    28     114.0   38.6
41    29     114.0   38.6
42    18     114.1   37.6
42    19     114.1   37.6
42    20     114.1   37.8
42    21     114.1   37.9
42    22     114.1   38.0
42    23     114.1   38.1
42    24     114.1   38.1
42    25     114.1   38.2
42    26     114.1   38.4
42    27     114.1   38.5
42    28     114.1   38.6
42    29     114.1   38.6
43    18     114.2   37.6
43    19     114.2   37.6
43    20     114.2   37.8
43    21     114.2   37.9
43    22     114.2   38.0
43    23     114.2   38.1
43    24     114.2   38.1
43    25     114.2   38.2
43    26     114.2   38.4
43    27     114.2   38.5
43    28     114.2   38.6
43    29     114.2   38.6
44    18     114.3   37.6
44    19     114.3   37.6
44    20     114.3   37.8
44    21     114.3   37.9
44    22     114.3   38.0
44    23     114.3   38.1
44    24     114.3   38.1
44    25     114.3   38.2
44    26     114.3   38.4
44    27     114.3   38.5
44    28     114.3   38.6
44    29     114.3   38.6
45    19     114.5   37.6
45    20     114.5   37.8
45    21     114.5   37.9
45    22     114.5   38.0
45    23     114.5   38.1
45    24     114.5   38.1
45    25     114.5   38.2
45    26     114.5   38.4
45    27     114.5   38.5
45    28     114.5   38.6
45    29     114.5   38.6
46    19     114.5   37.6
46    20     114.5   37.8
46    21     114.5   37.9
46    22     114.5   38.0
46    23     114.5   38.1
46    24     114.5   38.1
46    25     114.5   38.2
46    26     114.5   38.4
46    27     114.5   38.5
46    28     114.5   38.6
47    19     114.6   37.6
47    20     114.6   37.8
47    21     114.6   37.9
47    22     114.6   38.0
47    23     114.6   38.1
47    24     114.6   38.1
47    25     114.6   38.2
47    26     114.6   38.4
47    27     114.6   38.5
48    19     114.8   37.6
48    20     114.8   37.8
48    21     114.8   37.9
48    22     114.8   38.0
48    23     114.8   38.1
48    24     114.8   38.1
48    25     114.8   38.2
48    26     114.8   38.4
48    27     114.8   38.5
49    20     114.8   37.8
49    21     114.8   37.9
49    22     114.8   38.0
49    23     114.8   38.1
49    24     114.8   38.1
49    25     114.8   38.2
49    26     114.8   38.4
50    20     115.0   37.8
50    21     115.0   37.9
50    22     115.0   38.0
50    23     115.0   38.1
50    24     115.0   38.1
50    25     115.0   38.2
51    20     115.0   37.8
51    21     115.0   37.9
51    22     115.0   38.0
51    23     115.0   38.1
51    24     115.0   38.1
51    25     115.0   38.2
52    21     115.1   37.9
52    22     115.1   38.0
52    23     115.1   38.1
52    24     115.1   38.1
52    25     115.1   38.2
53    19     115.2   37.6
53    20     115.2   37.8
53    21     115.2   37.9
53    22     115.2   38.0
53    23     115.2   38.1
53    24     115.2   38.1
53    25     115.2   38.2
54    21     115.3   37.9
54    22     115.3   38.0
54    23     115.3   38.1
55    22     115.5   38.0
55    23     115.5   38.1
