x     y      long    lat
39    13     113.8   37.1
39    14     113.8   37.1
40    13     114.0   37.1
40    14     114.0   37.1
40    15     114.0   37.2
40    16     114.0   37.4
41    12     114.0   37.0
41    13     114.0   37.1
41    14     114.0   37.1
41    15     114.0   37.2
41    16     114.0   37.4
42    11     114.1   36.9
42    12     114.1   37.0
42    13     114.1   37.1
42    14     114.1   37.1
42    15     114.1   37.2
42    16     114.1   37.4
42    17     114.1   37.5
43    12     114.2   37.0
43    13     114.2   37.1
43    14     114.2   37.1
43    15     114.2   37.2
43    16     114.2   37.4
43    17     114.2   37.5
44    12     114.3   37.0
44    13     114.3   37.1
44    14     114.3   37.1
44    15     114.3   37.2
44    16     114.3   37.4
44    17     114.3   37.5
45    11     114.5   36.9
45    12     114.5   37.0
45    13     114.5   37.1
45    14     114.5   37.1
45    15     114.5   37.2
45    16     114.5   37.4
45    17     114.5   37.5
45    18     114.5   37.6
46    12     114.5   37.0
46    13     114.5   37.1
46    14     114.5   37.1
46    15     114.5   37.2
46    16     114.5   37.4
46    17     114.5   37.5
46    18     114.5   37.6
47    12     114.6   37.0
47    13     114.6   37.1
47    14     114.6   37.1
47    15     114.6   37.2
47    16     114.6   37.4
47    17     114.6   37.5
47    18     114.6   37.6
48    12     114.8   37.0
48    13     114.8   37.1
48    14     114.8   37.1
48    15     114.8   37.2
48    16     114.8   37.4
48    17     114.8   37.5
48    18     114.8   37.6
49    13     114.8   37.1
49    14     114.8   37.1
49    15     114.8   37.2
49    16     114.8   37.4
49    17     114.8   37.5
49    18     114.8   37.6
49    19     114.8   37.6
50    12     115.0   37.0
50    13     115.0   37.1
50    14     115.0   37.1
50    15     115.0   37.2
50    16     115.0   37.4
50    17     115.0   37.5
50    18     115.0   37.6
50    19     115.0   37.6
51    13     115.0   37.1
51    14     115.0   37.1
51    15     115.0   37.2
51    16     115.0   37.4
51    17     115.0   37.5
51    18     115.0   37.6
51    19     115.0   37.6
52    12     115.1   37.0
52    13     115.1   37.1
52    14     115.1   37.1
52    15     115.1   37.2
52    16     115.1   37.4
52    17     115.1   37.5
52    18     115.1   37.6
52    19     115.1   37.6
52    20     115.1   37.8
53    12     115.2   37.0
53    13     115.2   37.1
53    14     115.2   37.1
53    15     115.2   37.2
53    16     115.2   37.4
53    17     115.2   37.5
53    18     115.2   37.6
54    11     115.3   36.9
54    12     115.3   37.0
54    13     115.3   37.1
54    14     115.3   37.1
54    15     115.3   37.2
54    16     115.3   37.4
54    18     115.3   37.6
55    11     115.5   36.9
55    12     115.5   37.0
55    13     115.5   37.1
55    14     115.5   37.1
55    15     115.5   37.2
55    16     115.5   37.4
56    11     115.5   36.9
56    12     115.5   37.0
56    13     115.5   37.1
56    14     115.5   37.1
56    15     115.5   37.2
57    11     115.6   36.9
57    12     115.6   37.0
57    13     115.6   37.1
57    14     115.6   37.1
57    15     115.6   37.2
58    12     115.8   37.0
58    13     115.8   37.1
58    14     115.8   37.1
