x     y      long    lat
57    51     113.65  35.85
57    52     113.65  35.95
58    51     113.75  35.85
58    52     113.75  35.95
58    53     113.75  36.05
58    54     113.75  36.15
58    55     113.75  36.25
58    56     113.75  36.35
59    50     113.85  35.75
59    51     113.85  35.85
59    52     113.85  35.95
59    53     113.85  36.05
59    54     113.85  36.15
59    55     113.85  36.25
59    56     113.85  36.35
60    50     113.95  35.75
60    51     113.95  35.85
60    52     113.95  35.95
60    53     113.95  36.05
60    54     113.95  36.15
60    55     113.95  36.25
60    56     113.95  36.35
61    50     114.05  35.75
61    53     114.05  36.05
61    54     114.05  36.15
61    55     114.05  36.25
62    53     114.15  36.05
62    54     114.15  36.15
62    55     114.15  36.25
63    51     114.25  35.85
63    53     114.25  36.05
63    54     114.25  36.15
63    55     114.25  36.25
64    51     114.35  35.85
64    52     114.35  35.95
64    53     114.35  36.05
64    54     114.35  36.15
65    45     114.45  35.25
65    46     114.45  35.35
65    47     114.45  35.45
65    48     114.45  35.55
65    51     114.45  35.85
65    52     114.45  35.95
65    53     114.45  36.05
65    54     114.45  36.15
66    46     114.55  35.35
66    47     114.55  35.45
66    48     114.55  35.55
66    51     114.55  35.85
66    52     114.55  35.95
66    53     114.55  36.05
66    54     114.55  36.15
67    46     114.65  35.35
67    47     114.65  35.45
67    48     114.65  35.55
67    49     114.65  35.65
67    51     114.65  35.85
67    52     114.65  35.95
67    53     114.65  36.05
68    46     114.75  35.35
68    47     114.75  35.45
68    48     114.75  35.55
68    49     114.75  35.65
68    50     114.75  35.75
68    51     114.75  35.85
68    52     114.75  35.95
68    53     114.75  36.05
69    47     114.85  35.45
69    48     114.85  35.55
69    49     114.85  35.65
69    50     114.85  35.75
69    51     114.85  35.85
69    52     114.85  35.95
69    53     114.85  36.05
70    47     114.95  35.45
70    48     114.95  35.55
70    52     114.95  35.95
