x     y      long    lat
61    51     114.05  35.85
61    52     114.05  35.95
62    48     114.15  35.55
62    49     114.15  35.65
62    50     114.15  35.75
62    51     114.15  35.85
62    52     114.15  35.95
63    48     114.25  35.55
63    49     114.25  35.65
63    50     114.25  35.75
63    52     114.25  35.95
64    48     114.35  35.55
64    49     114.35  35.65
64    50     114.35  35.75
65    49     114.45  35.65
65    50     114.45  35.75
66    49     114.55  35.65
66    50     114.55  35.75
67    50     114.65  35.75
