x     y      long    lat
42    43     112.15  35.05
42    44     112.15  35.15
42    45     112.15  35.25
43    42     112.25  34.95
43    43     112.25  35.05
43    44     112.25  35.15
44    42     112.35  34.95
44    43     112.35  35.05
44    44     112.35  35.15
45    42     112.45  34.95
45    43     112.45  35.05
45    44     112.45  35.15
46    42     112.55  34.95
46    43     112.55  35.05
46    44     112.55  35.15
47    42     112.65  34.95
47    43     112.65  35.05
47    44     112.65  35.15
48    41     112.75  34.85
48    42     112.75  34.95
48    43     112.75  35.05
48    44     112.75  35.15
49    41     112.85  34.85
49    42     112.85  34.95
49    43     112.85  35.05
49    44     112.85  35.15
50    42     112.95  34.95
50    43     112.95  35.05
50    44     112.95  35.15
50    45     112.95  35.25
51    42     113.05  34.95
51    43     113.05  35.05
51    44     113.05  35.15
51    45     113.05  35.25
51    46     113.05  35.35
52    42     113.15  34.95
52    43     113.15  35.05
52    44     113.15  35.15
52    45     113.15  35.25
52    46     113.15  35.35
53    43     113.25  35.05
53    44     113.25  35.15
53    45     113.25  35.25
53    46     113.25  35.35
54    43     113.35  35.05
54    44     113.35  35.15
54    45     113.35  35.25
54    46     113.35  35.35
54    47     113.35  35.45
55    43     113.45  35.05
55    44     113.45  35.15
55    45     113.45  35.25
55    46     113.45  35.35
56    43     113.55  35.05
