x     y      long    lat
60    36     113.95  34.35
61    35     114.05  34.25
61    36     114.05  34.35
61    37     114.05  34.45
62    35     114.15  34.25
62    36     114.15  34.35
62    37     114.15  34.45
62    38     114.15  34.55
62    39     114.15  34.65
62    40     114.15  34.75
63    35     114.25  34.25
63    36     114.25  34.35
63    37     114.25  34.45
63    38     114.25  34.55
63    39     114.25  34.65
63    40     114.25  34.75
63    41     114.25  34.85
64    35     114.35  34.25
64    36     114.35  34.35
64    37     114.35  34.45
64    38     114.35  34.55
64    39     114.35  34.65
64    40     114.35  34.75
64    41     114.35  34.85
65    36     114.45  34.35
65    37     114.45  34.45
65    38     114.45  34.55
65    39     114.45  34.65
65    40     114.45  34.75
65    41     114.45  34.85
66    36     114.55  34.35
66    37     114.55  34.45
66    38     114.55  34.55
66    39     114.55  34.65
66    40     114.55  34.75
66    41     114.55  34.85
67    35     114.65  34.25
67    36     114.65  34.35
67    37     114.65  34.45
67    38     114.65  34.55
67    39     114.65  34.65
67    40     114.65  34.75
67    41     114.65  34.85
68    35     114.75  34.25
68    36     114.75  34.35
68    37     114.75  34.45
68    38     114.75  34.55
68    39     114.75  34.65
68    40     114.75  34.75
68    41     114.75  34.85
68    42     114.75  34.95
69    36     114.85  34.35
69    37     114.85  34.45
69    38     114.85  34.55
69    39     114.85  34.65
69    41     114.85  34.85
69    42     114.85  34.95
70    41     114.95  34.85
70    42     114.95  34.95
71    41     115.05  34.85
71    42     115.05  34.95
72    41     115.15  34.85
72    42     115.15  34.95
