x     y      long    lat
56    27     113.55  33.45
56    28     113.55  33.55
57    27     113.65  33.45
57    28     113.65  33.55
57    29     113.65  33.65
58    27     113.75  33.45
58    28     113.75  33.55
58    29     113.75  33.65
58    30     113.75  33.75
58    31     113.75  33.85
59    28     113.85  33.55
59    29     113.85  33.65
59    30     113.85  33.75
59    31     113.85  33.85
60    28     113.95  33.55
60    29     113.95  33.65
60    30     113.95  33.75
60    31     113.95  33.85
60    32     113.95  33.95
61    28     114.05  33.55
61    29     114.05  33.65
61    30     114.05  33.75
61    31     114.05  33.85
61    32     114.05  33.95
62    28     114.15  33.55
62    29     114.15  33.65
63    28     114.25  33.55
63    29     114.25  33.65
