x     y      long    lat
33    31     111.25  33.85
33    35     111.25  34.25
33    36     111.25  34.35
33    37     111.25  34.45
34    31     111.35  33.85
34    32     111.35  33.95
34    33     111.35  34.05
34    34     111.35  34.15
34    35     111.35  34.25
34    36     111.35  34.35
34    37     111.35  34.45
35    30     111.45  33.75
35    31     111.45  33.85
35    32     111.45  33.95
35    33     111.45  34.05
35    34     111.45  34.15
35    35     111.45  34.25
35    36     111.45  34.35
35    37     111.45  34.45
36    30     111.55  33.75
36    31     111.55  33.85
36    32     111.55  33.95
36    33     111.55  34.05
36    34     111.55  34.15
36    35     111.55  34.25
36    36     111.55  34.35
36    37     111.55  34.45
36    38     111.55  34.55
37    30     111.65  33.75
37    31     111.65  33.85
37    32     111.65  33.95
37    33     111.65  34.05
37    34     111.65  34.15
37    35     111.65  34.25
37    36     111.65  34.35
37    37     111.65  34.45
38    30     111.75  33.75
38    31     111.75  33.85
38    32     111.75  33.95
38    33     111.75  34.05
38    34     111.75  34.15
38    35     111.75  34.25
38    36     111.75  34.35
38    37     111.75  34.45
38    38     111.75  34.55
39    29     111.85  33.65
39    30     111.85  33.75
39    31     111.85  33.85
39    32     111.85  33.95
39    33     111.85  34.05
39    34     111.85  34.15
39    35     111.85  34.25
39    36     111.85  34.35
39    37     111.85  34.45
39    38     111.85  34.55
40    29     111.95  33.65
40    30     111.95  33.75
40    31     111.95  33.85
40    32     111.95  33.95
40    33     111.95  34.05
40    34     111.95  34.15
40    35     111.95  34.25
40    36     111.95  34.35
40    37     111.95  34.45
40    38     111.95  34.55
40    41     111.95  34.85
40    42     111.95  34.95
40    43     111.95  35.05
41    29     112.05  33.65
41    30     112.05  33.75
41    31     112.05  33.85
41    32     112.05  33.95
41    33     112.05  34.05
41    34     112.05  34.15
41    35     112.05  34.25
41    36     112.05  34.35
41    37     112.05  34.45
41    38     112.05  34.55
41    39     112.05  34.65
41    40     112.05  34.75
41    41     112.05  34.85
41    42     112.05  34.95
42    30     112.15  33.75
42    31     112.15  33.85
42    32     112.15  33.95
42    33     112.15  34.05
42    34     112.15  34.15
42    35     112.15  34.25
42    36     112.15  34.35
42    37     112.15  34.45
42    38     112.15  34.55
42    39     112.15  34.65
42    40     112.15  34.75
42    41     112.15  34.85
42    42     112.15  34.95
43    30     112.25  33.75
43    31     112.25  33.85
43    32     112.25  33.95
43    33     112.25  34.05
43    34     112.25  34.15
43    35     112.25  34.25
43    36     112.25  34.35
43    37     112.25  34.45
43    38     112.25  34.55
43    39     112.25  34.65
43    40     112.25  34.75
43    41     112.25  34.85
44    31     112.35  33.85
44    32     112.35  33.95
44    33     112.35  34.05
44    34     112.35  34.15
44    35     112.35  34.25
44    36     112.35  34.35
44    37     112.35  34.45
44    38     112.35  34.55
44    39     112.35  34.65
44    40     112.35  34.75
44    41     112.35  34.85
45    31     112.45  33.85
45    32     112.45  33.95
45    33     112.45  34.05
45    34     112.45  34.15
45    35     112.45  34.25
45    36     112.45  34.35
45    37     112.45  34.45
45    38     112.45  34.55
45    39     112.45  34.65
45    40     112.45  34.75
45    41     112.45  34.85
46    33     112.55  34.05
46    34     112.55  34.15
46    35     112.55  34.25
46    36     112.55  34.35
46    37     112.55  34.45
46    38     112.55  34.55
46    39     112.55  34.65
46    40     112.55  34.75
46    41     112.55  34.85
47    36     112.65  34.35
47    37     112.65  34.45
47    38     112.65  34.55
47    39     112.65  34.65
47    40     112.65  34.75
47    41     112.65  34.85
48    36     112.75  34.35
48    38     112.75  34.55
48    39     112.75  34.65
48    40     112.75  34.75
49    38     112.85  34.55
49    40     112.85  34.75
