x     y      long    lat
31    25     111.05  33.25
31    26     111.05  33.35
31    27     111.05  33.45
31    28     111.05  33.55
32    23     111.15  33.05
32    24     111.15  33.15
32    25     111.15  33.25
32    26     111.15  33.35
32    27     111.15  33.45
32    28     111.15  33.55
32    29     111.15  33.65
33    22     111.25  32.95
33    23     111.25  33.05
33    24     111.25  33.15
33    25     111.25  33.25
33    26     111.25  33.35
33    27     111.25  33.45
33    28     111.25  33.55
33    29     111.25  33.65
33    30     111.25  33.75
34    21     111.35  32.85
34    22     111.35  32.95
34    23     111.35  33.05
34    24     111.35  33.15
34    25     111.35  33.25
34    26     111.35  33.35
34    27     111.35  33.45
34    28     111.35  33.55
34    29     111.35  33.65
34    30     111.35  33.75
35    21     111.45  32.85
35    22     111.45  32.95
35    23     111.45  33.05
35    24     111.45  33.15
35    25     111.45  33.25
35    26     111.45  33.35
35    27     111.45  33.45
35    28     111.45  33.55
35    29     111.45  33.65
36    19     111.55  32.65
36    20     111.55  32.75
36    21     111.55  32.85
36    22     111.55  32.95
36    23     111.55  33.05
36    24     111.55  33.15
36    25     111.55  33.25
36    26     111.55  33.35
36    27     111.55  33.45
36    28     111.55  33.55
36    29     111.55  33.65
37    19     111.65  32.65
37    20     111.65  32.75
37    21     111.65  32.85
37    22     111.65  32.95
37    23     111.65  33.05
37    24     111.65  33.15
37    25     111.65  33.25
37    26     111.65  33.35
37    27     111.65  33.45
37    28     111.65  33.55
37    29     111.65  33.65
38    19     111.75  32.65
38    20     111.75  32.75
38    21     111.75  32.85
38    22     111.75  32.95
38    23     111.75  33.05
38    24     111.75  33.15
38    25     111.75  33.25
38    26     111.75  33.35
38    27     111.75  33.45
38    28     111.75  33.55
38    29     111.75  33.65
39    18     111.85  32.55
39    19     111.85  32.65
39    20     111.85  32.75
39    21     111.85  32.85
39    22     111.85  32.95
39    23     111.85  33.05
39    24     111.85  33.15
39    25     111.85  33.25
39    26     111.85  33.35
39    27     111.85  33.45
39    28     111.85  33.55
40    18     111.95  32.55
40    19     111.95  32.65
40    20     111.95  32.75
40    21     111.95  32.85
40    22     111.95  32.95
40    23     111.95  33.05
40    24     111.95  33.15
40    25     111.95  33.25
40    26     111.95  33.35
40    27     111.95  33.45
40    28     111.95  33.55
41    18     112.05  32.55
41    19     112.05  32.65
