x     y      long    lat
44    30     112.35  33.75
45    29     112.45  33.65
45    30     112.45  33.75
46    29     112.55  33.65
46    30     112.55  33.75
46    31     112.55  33.85
46    32     112.55  33.95
47    29     112.65  33.65
47    30     112.65  33.75
47    31     112.65  33.85
47    32     112.65  33.95
47    33     112.65  34.05
47    34     112.65  34.15
47    35     112.65  34.25
48    29     112.75  33.65
48    30     112.75  33.75
48    31     112.75  33.85
48    32     112.75  33.95
48    33     112.75  34.05
48    34     112.75  34.15
48    35     112.75  34.25
49    29     112.85  33.65
49    30     112.85  33.75
49    31     112.85  33.85
49    32     112.85  33.95
49    33     112.85  34.05
49    34     112.85  34.15
49    35     112.85  34.25
50    29     112.95  33.65
50    30     112.95  33.75
50    31     112.95  33.85
50    32     112.95  33.95
50    33     112.95  34.05
50    34     112.95  34.15
50    35     112.95  34.25
51    27     113.05  33.45
51    28     113.05  33.55
51    29     113.05  33.65
51    30     113.05  33.75
51    31     113.05  33.85
51    32     113.05  33.95
51    33     113.05  34.05
51    34     113.05  34.15
51    35     113.05  34.25
52    27     113.15  33.45
52    28     113.15  33.55
52    29     113.15  33.65
52    30     113.15  33.75
52    31     113.15  33.85
52    32     113.15  33.95
52    33     113.15  34.05
53    27     113.25  33.45
53    28     113.25  33.55
53    29     113.25  33.65
53    30     113.25  33.75
53    31     113.25  33.85
53    32     113.25  33.95
53    33     113.25  34.05
54    26     113.35  33.35
54    27     113.35  33.45
54    28     113.35  33.55
54    29     113.35  33.65
54    30     113.35  33.75
54    31     113.35  33.85
54    32     113.35  33.95
55    25     113.45  33.25
55    26     113.45  33.35
55    27     113.45  33.45
55    28     113.45  33.55
55    29     113.45  33.65
55    30     113.45  33.75
55    31     113.45  33.85
55    32     113.45  33.95
56    25     113.55  33.25
56    26     113.55  33.35
56    29     113.55  33.65
56    30     113.55  33.75
56    31     113.55  33.85
56    32     113.55  33.95
57    30     113.65  33.75
57    31     113.65  33.85
57    32     113.65  33.95
