x     y      long    lat
70    49     114.95  35.65
70    50     114.95  35.75
70    51     114.95  35.85
70    53     114.95  36.05
71    47     115.05  35.45
71    48     115.05  35.55
71    49     115.05  35.65
71    50     115.05  35.75
71    51     115.05  35.85
71    52     115.05  35.95
71    53     115.05  36.05
71    54     115.05  36.15
72    47     115.15  35.45
72    48     115.15  35.55
72    49     115.15  35.65
72    50     115.15  35.75
72    51     115.15  35.85
72    52     115.15  35.95
72    53     115.15  36.05
72    54     115.15  36.15
73    47     115.25  35.45
73    48     115.25  35.55
73    49     115.25  35.65
73    50     115.25  35.75
73    51     115.25  35.85
73    52     115.25  35.95
73    53     115.25  36.05
73    54     115.25  36.15
74    49     115.35  35.65
74    50     115.35  35.75
74    53     115.35  36.05
75    50     115.45  35.75
75    51     115.45  35.85
75    54     115.45  36.15
76    50     115.55  35.75
76    51     115.55  35.85
77    50     115.65  35.75
77    51     115.65  35.85
78    51     115.75  35.85
78    52     115.75  35.95
79    52     115.85  35.95
81    53     116.05  36.05
