x     y      long    lat
25    35     110.45  34.25
25    37     110.45  34.45
25    38     110.45  34.55
26    35     110.55  34.25
26    36     110.55  34.35
26    37     110.55  34.45
26    38     110.55  34.55
27    33     110.65  34.05
27    34     110.65  34.15
27    35     110.65  34.25
27    36     110.65  34.35
27    37     110.65  34.45
27    38     110.65  34.55
28    31     110.75  33.85
28    32     110.75  33.95
28    33     110.75  34.05
28    34     110.75  34.15
28    35     110.75  34.25
28    36     110.75  34.35
28    37     110.75  34.45
28    38     110.75  34.55
28    39     110.75  34.65
29    30     110.85  33.75
29    31     110.85  33.85
29    32     110.85  33.95
29    33     110.85  34.05
29    34     110.85  34.15
29    35     110.85  34.25
29    36     110.85  34.35
29    37     110.85  34.45
29    38     110.85  34.55
30    29     110.95  33.65
30    30     110.95  33.75
30    31     110.95  33.85
30    32     110.95  33.95
30    33     110.95  34.05
30    34     110.95  34.15
30    35     110.95  34.25
30    36     110.95  34.35
30    37     110.95  34.45
30    38     110.95  34.55
30    39     110.95  34.65
31    29     111.05  33.65
31    30     111.05  33.75
31    31     111.05  33.85
31    32     111.05  33.95
31    33     111.05  34.05
31    34     111.05  34.15
31    35     111.05  34.25
31    36     111.05  34.35
31    37     111.05  34.45
31    38     111.05  34.55
31    39     111.05  34.65
32    30     111.15  33.75
32    31     111.15  33.85
32    32     111.15  33.95
32    33     111.15  34.05
32    34     111.15  34.15
32    35     111.15  34.25
32    36     111.15  34.35
32    37     111.15  34.45
32    38     111.15  34.55
32    39     111.15  34.65
32    40     111.15  34.75
33    32     111.25  33.95
33    33     111.25  34.05
33    34     111.25  34.15
33    38     111.25  34.55
33    39     111.25  34.65
33    40     111.25  34.75
34    38     111.35  34.55
34    39     111.35  34.65
34    40     111.35  34.75
35    38     111.45  34.55
35    39     111.45  34.65
35    40     111.45  34.75
36    39     111.55  34.65
36    40     111.55  34.75
37    38     111.65  34.55
37    39     111.65  34.65
37    40     111.65  34.75
37    41     111.65  34.85
38    39     111.75  34.65
38    40     111.75  34.75
38    41     111.75  34.85
38    42     111.75  34.95
39    39     111.85  34.65
39    40     111.85  34.75
39    41     111.85  34.85
39    42     111.85  34.95
39    43     111.85  35.05
40    39     111.95  34.65
40    40     111.95  34.75
