x     y      long    lat
69    40     114.85  34.75
70    36     114.95  34.35
70    37     114.95  34.45
70    38     114.95  34.55
70    39     114.95  34.65
70    40     114.95  34.75
71    32     115.05  33.95
71    35     115.05  34.25
71    36     115.05  34.35
71    37     115.05  34.45
71    38     115.05  34.55
71    39     115.05  34.65
71    40     115.05  34.75
72    33     115.15  34.05
72    34     115.15  34.15
72    35     115.15  34.25
72    36     115.15  34.35
72    37     115.15  34.45
72    38     115.15  34.55
72    39     115.15  34.65
72    40     115.15  34.75
73    33     115.25  34.05
73    34     115.25  34.15
73    35     115.25  34.25
73    36     115.25  34.35
73    37     115.25  34.45
73    38     115.25  34.55
73    39     115.25  34.65
73    40     115.25  34.75
74    33     115.35  34.05
74    34     115.35  34.15
74    35     115.35  34.25
74    36     115.35  34.35
74    37     115.35  34.45
74    38     115.35  34.55
74    39     115.35  34.65
74    40     115.35  34.75
75    33     115.45  34.05
75    34     115.45  34.15
75    35     115.45  34.25
75    36     115.45  34.35
75    37     115.45  34.45
75    38     115.45  34.55
75    39     115.45  34.65
76    34     115.55  34.15
76    35     115.55  34.25
76    36     115.55  34.35
76    37     115.55  34.45
76    38     115.55  34.55
77    34     115.65  34.15
77    35     115.65  34.25
77    36     115.65  34.35
77    37     115.65  34.45
77    38     115.65  34.55
78    34     115.75  34.15
78    35     115.75  34.25
78    36     115.75  34.35
78    37     115.75  34.45
78    38     115.75  34.55
79    33     115.85  34.05
79    34     115.85  34.15
79    35     115.85  34.25
79    36     115.85  34.35
79    37     115.85  34.45
79    38     115.85  34.55
80    33     115.95  34.05
80    34     115.95  34.15
80    35     115.95  34.25
80    36     115.95  34.35
80    37     115.95  34.45
80    38     115.95  34.55
81    32     116.05  33.95
81    33     116.05  34.05
81    34     116.05  34.15
81    35     116.05  34.25
81    36     116.05  34.35
81    37     116.05  34.45
81    38     116.05  34.55
82    30     116.15  33.75
82    31     116.15  33.85
82    32     116.15  33.95
82    33     116.15  34.05
82    34     116.15  34.15
82    35     116.15  34.25
82    36     116.15  34.35
82    37     116.15  34.45
82    38     116.15  34.55
83    30     116.25  33.75
83    31     116.25  33.85
83    32     116.25  33.95
83    33     116.25  34.05
83    34     116.25  34.15
83    35     116.25  34.25
83    36     116.25  34.35
84    31     116.35  33.85
84    32     116.35  33.95
84    33     116.35  34.05
84    34     116.35  34.15
84    35     116.35  34.25
85    32     116.45  33.95
85    33     116.45  34.05
85    34     116.45  34.15
85    35     116.45  34.25
86    32     116.55  33.95
86    33     116.55  34.05
86    35     116.55  34.25
