x     y      long    lat
55    47     113.45  35.45
56    44     113.55  35.15
56    45     113.55  35.25
56    46     113.55  35.35
56    47     113.55  35.45
56    48     113.55  35.55
56    49     113.55  35.65
57    42     113.65  34.95
57    43     113.65  35.05
57    44     113.65  35.15
57    45     113.65  35.25
57    46     113.65  35.35
57    47     113.65  35.45
57    48     113.65  35.55
57    49     113.65  35.65
57    50     113.65  35.75
58    42     113.75  34.95
58    43     113.75  35.05
58    44     113.75  35.15
58    45     113.75  35.25
58    46     113.75  35.35
58    47     113.75  35.45
58    48     113.75  35.55
58    49     113.75  35.65
58    50     113.75  35.75
59    42     113.85  34.95
59    43     113.85  35.05
59    44     113.85  35.15
59    45     113.85  35.25
59    46     113.85  35.35
59    47     113.85  35.45
59    48     113.85  35.55
59    49     113.85  35.65
60    42     113.95  34.95
60    43     113.95  35.05
60    44     113.95  35.15
60    45     113.95  35.25
60    46     113.95  35.35
60    47     113.95  35.45
60    48     113.95  35.55
60    49     113.95  35.65
61    43     114.05  35.05
61    44     114.05  35.15
61    45     114.05  35.25
61    46     114.05  35.35
61    47     114.05  35.45
61    48     114.05  35.55
61    49     114.05  35.65
62    43     114.15  35.05
62    44     114.15  35.15
62    45     114.15  35.25
62    46     114.15  35.35
62    47     114.15  35.45
63    42     114.25  34.95
63    43     114.25  35.05
63    44     114.25  35.15
63    45     114.25  35.25
63    46     114.25  35.35
63    47     114.25  35.45
64    42     114.35  34.95
64    43     114.35  35.05
64    44     114.35  35.15
64    45     114.35  35.25
64    46     114.35  35.35
64    47     114.35  35.45
65    42     114.45  34.95
65    43     114.45  35.05
65    44     114.45  35.15
66    42     114.55  34.95
66    43     114.55  35.05
66    44     114.55  35.15
66    45     114.55  35.25
67    42     114.65  34.95
67    43     114.65  35.05
67    44     114.65  35.15
67    45     114.65  35.25
68    43     114.75  35.05
68    44     114.75  35.15
68    45     114.75  35.25
69    45     114.85  35.25
69    46     114.85  35.35
70    46     114.95  35.35
