x     y      long    lat
58    15     113.75  32.25
58    17     113.75  32.45
59    11     113.85  31.85
59    12     113.85  31.95
59    13     113.85  32.05
59    14     113.85  32.15
59    15     113.85  32.25
59    16     113.85  32.35
59    17     113.85  32.45
59    18     113.85  32.55
60    12     113.95  31.95
60    13     113.95  32.05
60    14     113.95  32.15
60    15     113.95  32.25
60    16     113.95  32.35
60    17     113.95  32.45
61    11     114.05  31.85
61    12     114.05  31.95
61    13     114.05  32.05
61    14     114.05  32.15
61    15     114.05  32.25
61    16     114.05  32.35
61    17     114.05  32.45
62    11     114.15  31.85
62    12     114.15  31.95
62    13     114.15  32.05
62    14     114.15  32.15
62    15     114.15  32.25
62    16     114.15  32.35
62    17     114.15  32.45
63    11     114.25  31.85
63    12     114.25  31.95
63    13     114.25  32.05
63    14     114.25  32.15
63    15     114.25  32.25
63    16     114.25  32.35
64    11     114.35  31.85
64    12     114.35  31.95
64    13     114.35  32.05
64    14     114.35  32.15
64    15     114.35  32.25
65    10     114.45  31.75
65    11     114.45  31.85
65    12     114.45  31.95
65    13     114.45  32.05
65    14     114.45  32.15
65    15     114.45  32.25
66    9     114.55  31.65
66    11     114.55  31.85
66    12     114.55  31.95
66    13     114.55  32.05
66    14     114.55  32.15
66    15     114.55  32.25
67    9     114.65  31.65
67    10     114.65  31.75
67    11     114.65  31.85
67    12     114.65  31.95
67    13     114.65  32.05
67    14     114.65  32.15
67    15     114.65  32.25
67    16     114.65  32.35
67    17     114.65  32.45
68    8     114.75  31.55
68    9     114.75  31.65
68    10     114.75  31.75
68    11     114.75  31.85
68    12     114.75  31.95
68    13     114.75  32.05
68    14     114.75  32.15
68    15     114.75  32.25
68    16     114.75  32.35
68    17     114.75  32.45
69    8     114.85  31.55
69    9     114.85  31.65
69    10     114.85  31.75
69    11     114.85  31.85
69    12     114.85  31.95
69    13     114.85  32.05
69    14     114.85  32.15
69    15     114.85  32.25
69    16     114.85  32.35
69    17     114.85  32.45
69    18     114.85  32.55
70    8     114.95  31.55
70    9     114.95  31.65
70    10     114.95  31.75
70    11     114.95  31.85
70    12     114.95  31.95
70    13     114.95  32.05
70    14     114.95  32.15
70    15     114.95  32.25
70    16     114.95  32.35
70    17     114.95  32.45
70    18     114.95  32.55
70    19     114.95  32.65
71    8     115.05  31.55
71    9     115.05  31.65
71    10     115.05  31.75
71    11     115.05  31.85
71    12     115.05  31.95
71    13     115.05  32.05
71    14     115.05  32.15
71    15     115.05  32.25
71    16     115.05  32.35
71    17     115.05  32.45
71    18     115.05  32.55
72    9     115.15  31.65
72    10     115.15  31.75
72    11     115.15  31.85
72    12     115.15  31.95
72    13     115.15  32.05
72    14     115.15  32.15
72    15     115.15  32.25
72    16     115.15  32.35
72    17     115.15  32.45
72    18     115.15  32.55
73    7     115.25  31.45
73    8     115.25  31.55
73    9     115.25  31.65
73    10     115.25  31.75
73    11     115.25  31.85
73    12     115.25  31.95
73    13     115.25  32.05
73    14     115.25  32.15
73    15     115.25  32.25
73    16     115.25  32.35
73    17     115.25  32.45
73    18     115.25  32.55
74    7     115.35  31.45
74    8     115.35  31.55
74    9     115.35  31.65
74    10     115.35  31.75
74    11     115.35  31.85
74    12     115.35  31.95
74    13     115.35  32.05
74    14     115.35  32.15
74    15     115.35  32.25
74    16     115.35  32.35
74    17     115.35  32.45
74    18     115.35  32.55
75    9     115.45  31.65
75    10     115.45  31.75
75    11     115.45  31.85
75    12     115.45  31.95
75    13     115.45  32.05
75    14     115.45  32.15
75    15     115.45  32.25
75    16     115.45  32.35
75    17     115.45  32.45
76    10     115.55  31.75
76    11     115.55  31.85
76    12     115.55  31.95
76    13     115.55  32.05
76    14     115.55  32.15
76    15     115.55  32.25
76    16     115.55  32.35
77    11     115.65  31.85
77    12     115.65  31.95
77    13     115.65  32.05
77    14     115.65  32.15
77    15     115.65  32.25
77    16     115.65  32.35
78    11     115.75  31.85
78    12     115.75  31.95
78    13     115.75  32.05
78    14     115.75  32.15
78    15     115.75  32.25
78    16     115.75  32.35
78    17     115.75  32.45
79    11     115.85  31.85
79    12     115.85  31.95
79    13     115.85  32.05
79    14     115.85  32.15
79    15     115.85  32.25
79    16     115.85  32.35
79    17     115.85  32.45
