x     y      long    lat
52    34     113.15  34.15
52    35     113.15  34.25
53    34     113.25  34.15
53    35     113.25  34.25
54    33     113.35  34.05
54    34     113.35  34.15
54    35     113.35  34.25
54    36     113.35  34.35
55    33     113.45  34.05
55    34     113.45  34.15
55    35     113.45  34.25
56    33     113.55  34.05
56    34     113.55  34.15
56    35     113.55  34.25
57    33     113.65  34.05
57    34     113.65  34.15
57    35     113.65  34.25
58    32     113.75  33.95
58    33     113.75  34.05
58    34     113.75  34.15
58    35     113.75  34.25
59    32     113.85  33.95
59    33     113.85  34.05
59    34     113.85  34.15
59    35     113.85  34.25
60    33     113.95  34.05
60    34     113.95  34.15
60    35     113.95  34.25
61    33     114.05  34.05
61    34     114.05  34.15
62    31     114.15  33.85
62    32     114.15  33.95
62    33     114.15  34.05
62    34     114.15  34.15
63    31     114.25  33.85
63    32     114.25  33.95
63    33     114.25  34.05
63    34     114.25  34.15
