x     y      long    lat
48    37     112.75  34.45
49    36     112.85  34.35
49    37     112.85  34.45
49    39     112.85  34.65
50    36     112.95  34.35
50    37     112.95  34.45
50    38     112.95  34.55
50    39     112.95  34.65
50    40     112.95  34.75
50    41     112.95  34.85
51    36     113.05  34.35
51    37     113.05  34.45
51    38     113.05  34.55
51    39     113.05  34.65
51    40     113.05  34.75
51    41     113.05  34.85
52    36     113.15  34.35
52    37     113.15  34.45
52    38     113.15  34.55
52    39     113.15  34.65
52    40     113.15  34.75
52    41     113.15  34.85
53    36     113.25  34.35
53    37     113.25  34.45
53    38     113.25  34.55
53    39     113.25  34.65
53    40     113.25  34.75
53    41     113.25  34.85
53    42     113.25  34.95
54    37     113.35  34.45
54    38     113.35  34.55
54    39     113.35  34.65
54    40     113.35  34.75
54    41     113.35  34.85
54    42     113.35  34.95
55    36     113.45  34.35
55    37     113.45  34.45
55    38     113.45  34.55
55    39     113.45  34.65
55    40     113.45  34.75
55    41     113.45  34.85
55    42     113.45  34.95
56    36     113.55  34.35
56    37     113.55  34.45
56    38     113.55  34.55
56    39     113.55  34.65
56    40     113.55  34.75
56    41     113.55  34.85
56    42     113.55  34.95
57    36     113.65  34.35
57    37     113.65  34.45
57    38     113.65  34.55
57    39     113.65  34.65
57    40     113.65  34.75
57    41     113.65  34.85
58    36     113.75  34.35
58    37     113.75  34.45
58    38     113.75  34.55
58    39     113.75  34.65
58    40     113.75  34.75
58    41     113.75  34.85
59    36     113.85  34.35
59    37     113.85  34.45
59    38     113.85  34.55
59    39     113.85  34.65
59    40     113.85  34.75
59    41     113.85  34.85
60    37     113.95  34.45
60    38     113.95  34.55
60    39     113.95  34.65
60    40     113.95  34.75
60    41     113.95  34.85
61    38     114.05  34.55
61    39     114.05  34.65
61    40     114.05  34.75
61    41     114.05  34.85
61    42     114.05  34.95
62    41     114.15  34.85
62    42     114.15  34.95
