x     y      long    lat
62    30     114.15  33.75
63    30     114.25  33.75
64    28     114.35  33.55
64    29     114.35  33.65
64    30     114.35  33.75
64    31     114.35  33.85
64    32     114.35  33.95
64    33     114.35  34.05
64    34     114.35  34.15
65    28     114.45  33.55
65    29     114.45  33.65
65    30     114.45  33.75
65    31     114.45  33.85
65    32     114.45  33.95
65    33     114.45  34.05
65    34     114.45  34.15
65    35     114.45  34.25
66    27     114.55  33.45
66    28     114.55  33.55
66    29     114.55  33.65
66    30     114.55  33.75
66    31     114.55  33.85
66    32     114.55  33.95
66    33     114.55  34.05
66    34     114.55  34.15
66    35     114.55  34.25
67    26     114.65  33.35
67    27     114.65  33.45
67    28     114.65  33.55
67    29     114.65  33.65
67    30     114.65  33.75
67    31     114.65  33.85
67    32     114.65  33.95
67    33     114.65  34.05
67    34     114.65  34.15
68    24     114.75  33.15
68    25     114.75  33.25
68    26     114.75  33.35
68    27     114.75  33.45
68    28     114.75  33.55
68    29     114.75  33.65
68    30     114.75  33.75
68    31     114.75  33.85
68    32     114.75  33.95
68    33     114.75  34.05
68    34     114.75  34.15
69    24     114.85  33.15
69    25     114.85  33.25
69    26     114.85  33.35
69    27     114.85  33.45
69    28     114.85  33.55
69    29     114.85  33.65
69    30     114.85  33.75
69    31     114.85  33.85
69    32     114.85  33.95
69    33     114.85  34.05
69    34     114.85  34.15
69    35     114.85  34.25
70    25     114.95  33.25
70    26     114.95  33.35
70    27     114.95  33.45
70    28     114.95  33.55
70    29     114.95  33.65
70    30     114.95  33.75
70    31     114.95  33.85
70    32     114.95  33.95
70    33     114.95  34.05
70    34     114.95  34.15
70    35     114.95  34.25
71    24     115.05  33.15
71    25     115.05  33.25
71    26     115.05  33.35
71    27     115.05  33.45
71    28     115.05  33.55
71    29     115.05  33.65
71    30     115.05  33.75
71    31     115.05  33.85
71    33     115.05  34.05
71    34     115.05  34.15
72    24     115.15  33.15
72    25     115.15  33.25
72    26     115.15  33.35
72    27     115.15  33.45
72    28     115.15  33.55
72    29     115.15  33.65
72    30     115.15  33.75
72    31     115.15  33.85
72    32     115.15  33.95
73    24     115.25  33.15
73    25     115.25  33.25
73    26     115.25  33.35
73    27     115.25  33.45
73    28     115.25  33.55
73    29     115.25  33.65
73    30     115.25  33.75
73    31     115.25  33.85
73    32     115.25  33.95
74    28     115.35  33.55
74    29     115.35  33.65
74    30     115.35  33.75
74    31     115.35  33.85
74    32     115.35  33.95
75    29     115.45  33.65
75    30     115.45  33.75
75    31     115.45  33.85
75    32     115.45  33.95
76    29     115.55  33.65
76    30     115.55  33.75
76    31     115.55  33.85
76    32     115.55  33.95
76    33     115.55  34.05
