x     y      long    lat
52    22     113.15  32.95
53    19     113.25  32.65
53    20     113.25  32.75
53    21     113.25  32.85
53    22     113.25  32.95
53    23     113.25  33.05
54    19     113.35  32.65
54    20     113.35  32.75
54    21     113.35  32.85
54    22     113.35  32.95
54    23     113.35  33.05
55    19     113.45  32.65
55    20     113.45  32.75
55    21     113.45  32.85
55    22     113.45  32.95
55    23     113.45  33.05
55    24     113.45  33.15
56    19     113.55  32.65
56    20     113.55  32.75
56    21     113.55  32.85
56    22     113.55  32.95
56    23     113.55  33.05
56    24     113.55  33.15
57    20     113.65  32.75
57    21     113.65  32.85
57    22     113.65  32.95
57    23     113.65  33.05
57    24     113.65  33.15
57    25     113.65  33.25
57    26     113.65  33.35
58    20     113.75  32.75
58    21     113.75  32.85
58    22     113.75  32.95
58    23     113.75  33.05
58    24     113.75  33.15
58    25     113.75  33.25
58    26     113.75  33.35
59    19     113.85  32.65
59    20     113.85  32.75
59    21     113.85  32.85
59    22     113.85  32.95
59    23     113.85  33.05
59    24     113.85  33.15
59    25     113.85  33.25
59    26     113.85  33.35
59    27     113.85  33.45
60    18     113.95  32.55
60    19     113.95  32.65
60    20     113.95  32.75
60    21     113.95  32.85
60    22     113.95  32.95
60    23     113.95  33.05
60    24     113.95  33.15
60    25     113.95  33.25
60    26     113.95  33.35
60    27     113.95  33.45
61    18     114.05  32.55
61    19     114.05  32.65
61    20     114.05  32.75
61    21     114.05  32.85
61    22     114.05  32.95
61    23     114.05  33.05
61    24     114.05  33.15
61    25     114.05  33.25
61    26     114.05  33.35
61    27     114.05  33.45
62    18     114.15  32.55
62    19     114.15  32.65
62    20     114.15  32.75
62    21     114.15  32.85
62    22     114.15  32.95
62    23     114.15  33.05
62    24     114.15  33.15
62    25     114.15  33.25
62    26     114.15  33.35
62    27     114.15  33.45
63    17     114.25  32.45
63    18     114.25  32.55
63    19     114.25  32.65
63    20     114.25  32.75
63    21     114.25  32.85
63    22     114.25  32.95
63    23     114.25  33.05
63    24     114.25  33.15
63    25     114.25  33.25
63    26     114.25  33.35
63    27     114.25  33.45
64    16     114.35  32.35
64    17     114.35  32.45
64    18     114.35  32.55
64    19     114.35  32.65
64    20     114.35  32.75
64    21     114.35  32.85
64    22     114.35  32.95
64    23     114.35  33.05
64    24     114.35  33.15
64    25     114.35  33.25
64    26     114.35  33.35
64    27     114.35  33.45
65    16     114.45  32.35
65    17     114.45  32.45
65    18     114.45  32.55
65    19     114.45  32.65
65    20     114.45  32.75
65    21     114.45  32.85
65    22     114.45  32.95
65    23     114.45  33.05
65    24     114.45  33.15
65    25     114.45  33.25
65    26     114.45  33.35
65    27     114.45  33.45
66    16     114.55  32.35
66    17     114.55  32.45
66    18     114.55  32.55
66    19     114.55  32.65
66    20     114.55  32.75
66    21     114.55  32.85
66    22     114.55  32.95
66    23     114.55  33.05
66    24     114.55  33.15
66    25     114.55  33.25
66    26     114.55  33.35
67    18     114.65  32.55
67    19     114.65  32.65
67    20     114.65  32.75
67    21     114.65  32.85
67    22     114.65  32.95
67    23     114.65  33.05
67    24     114.65  33.15
67    25     114.65  33.25
68    18     114.75  32.55
68    19     114.75  32.65
68    20     114.75  32.75
68    21     114.75  32.85
68    22     114.75  32.95
68    23     114.75  33.05
69    19     114.85  32.65
69    20     114.85  32.75
69    21     114.85  32.85
69    22     114.85  32.95
69    23     114.85  33.05
70    20     114.95  32.75
70    21     114.95  32.85
71    19     115.05  32.65
71    20     115.05  32.75
71    21     115.05  32.85
72    19     115.15  32.65
72    20     115.15  32.75
72    21     115.15  32.85
