x     y      long    lat
39    30     113.8   38.8
39    31     113.8   38.9
39    32     113.8   39.0
40    30     114.0   38.8
40    31     114.0   38.9
40    32     114.0   39.0
40    33     114.0   39.1
41    30     114.0   38.8
41    31     114.0   38.9
41    32     114.0   39.0
41    33     114.0   39.1
42    30     114.1   38.8
42    31     114.1   38.9
42    32     114.1   39.0
43    30     114.2   38.8
43    31     114.2   38.9
43    32     114.2   39.0
43    33     114.2   39.1
44    30     114.3   38.8
44    31     114.3   38.9
44    32     114.3   39.0
44    33     114.3   39.1
45    30     114.5   38.8
45    31     114.5   38.9
45    32     114.5   39.0
45    33     114.5   39.1
45    34     114.5   39.1
45    35     114.5   39.2
46    29     114.5   38.6
46    30     114.5   38.8
46    31     114.5   38.9
46    32     114.5   39.0
46    33     114.5   39.1
46    34     114.5   39.1
46    35     114.5   39.2
46    36     114.5   39.4
46    37     114.5   39.5
47    28     114.6   38.6
47    29     114.6   38.6
47    30     114.6   38.8
47    31     114.6   38.9
47    32     114.6   39.0
47    33     114.6   39.1
47    34     114.6   39.1
47    35     114.6   39.2
47    36     114.6   39.4
47    37     114.6   39.5
47    38     114.6   39.6
48    28     114.8   38.6
48    29     114.8   38.6
48    30     114.8   38.8
48    31     114.8   38.9
48    32     114.8   39.0
48    33     114.8   39.1
48    34     114.8   39.1
48    35     114.8   39.2
48    36     114.8   39.4
48    37     114.8   39.5
48    38     114.8   39.6
49    27     114.8   38.5
49    28     114.8   38.6
49    29     114.8   38.6
49    30     114.8   38.8
49    31     114.8   38.9
49    32     114.8   39.0
49    33     114.8   39.1
49    34     114.8   39.1
49    35     114.8   39.2
49    36     114.8   39.4
49    37     114.8   39.5
49    38     114.8   39.6
50    26     115.0   38.4
50    27     115.0   38.5
50    28     115.0   38.6
50    29     115.0   38.6
50    30     115.0   38.8
50    31     115.0   38.9
50    32     115.0   39.0
50    33     115.0   39.1
50    34     115.0   39.1
50    35     115.0   39.2
50    36     115.0   39.4
50    37     115.0   39.5
50    38     115.0   39.6
50    39     115.0   39.6
51    26     115.0   38.4
51    27     115.0   38.5
51    28     115.0   38.6
51    29     115.0   38.6
51    30     115.0   38.8
51    31     115.0   38.9
51    32     115.0   39.0
51    33     115.0   39.1
51    34     115.0   39.1
51    35     115.0   39.2
51    36     115.0   39.4
51    37     115.0   39.5
51    38     115.0   39.6
51    39     115.0   39.6
52    26     115.1   38.4
52    27     115.1   38.5
52    28     115.1   38.6
52    29     115.1   38.6
52    30     115.1   38.8
52    31     115.1   38.9
52    32     115.1   39.0
52    33     115.1   39.1
52    34     115.1   39.1
52    35     115.1   39.2
52    36     115.1   39.4
52    37     115.1   39.5
52    38     115.1   39.6
52    39     115.1   39.6
53    26     115.2   38.4
53    27     115.2   38.5
53    28     115.2   38.6
53    29     115.2   38.6
53    30     115.2   38.8
53    31     115.2   38.9
53    32     115.2   39.0
53    33     115.2   39.1
53    34     115.2   39.1
53    35     115.2   39.2
53    36     115.2   39.4
53    37     115.2   39.5
53    38     115.2   39.6
53    39     115.2   39.6
54    26     115.3   38.4
54    27     115.3   38.5
54    28     115.3   38.6
54    29     115.3   38.6
54    30     115.3   38.8
54    31     115.3   38.9
54    32     115.3   39.0
54    33     115.3   39.1
54    34     115.3   39.1
54    35     115.3   39.2
54    36     115.3   39.4
54    37     115.3   39.5
54    38     115.3   39.6
54    39     115.3   39.6
54    40     115.3   39.8
54    41     115.3   39.9
55    26     115.5   38.4
55    27     115.5   38.5
55    28     115.5   38.6
55    29     115.5   38.6
55    30     115.5   38.8
55    31     115.5   38.9
55    32     115.5   39.0
55    33     115.5   39.1
55    34     115.5   39.1
55    35     115.5   39.2
55    36     115.5   39.4
55    37     115.5   39.5
55    38     115.5   39.6
55    39     115.5   39.6
55    41     115.5   39.9
56    26     115.5   38.4
56    27     115.5   38.5
56    28     115.5   38.6
56    29     115.5   38.6
56    30     115.5   38.8
56    31     115.5   38.9
56    32     115.5   39.0
56    33     115.5   39.1
56    34     115.5   39.1
56    35     115.5   39.2
56    36     115.5   39.4
56    37     115.5   39.5
56    38     115.5   39.6
57    26     115.6   38.4
57    27     115.6   38.5
57    28     115.6   38.6
57    29     115.6   38.6
57    30     115.6   38.8
57    31     115.6   38.9
57    32     115.6   39.0
57    33     115.6   39.1
57    34     115.6   39.1
57    35     115.6   39.2
57    36     115.6   39.4
57    37     115.6   39.5
57    38     115.6   39.6
58    28     115.8   38.6
58    29     115.8   38.6
58    30     115.8   38.8
58    31     115.8   38.9
58    32     115.8   39.0
58    33     115.8   39.1
58    34     115.8   39.1
58    35     115.8   39.2
58    36     115.8   39.4
58    37     115.8   39.5
59    28     115.8   38.6
59    29     115.8   38.6
59    30     115.8   38.8
59    31     115.8   38.9
59    32     115.8   39.0
59    33     115.8   39.1
59    34     115.8   39.1
59    35     115.8   39.2
59    36     115.8   39.4
59    37     115.8   39.5
59    38     115.8   39.6
60    29     116.0   38.6
60    31     116.0   38.9
60    32     116.0   39.0
60    33     116.0   39.1
60    34     116.0   39.1
60    35     116.0   39.2
60    36     116.0   39.4
60    37     116.0   39.5
60    38     116.0   39.6
61    31     116.0   38.9
61    32     116.0   39.0
61    33     116.0   39.1
61    34     116.0   39.1
61    35     116.0   39.2
61    36     116.0   39.4
61    37     116.0   39.5
61    38     116.0   39.6
62    32     116.1   39.0
62    33     116.1   39.1
62    34     116.1   39.1
62    35     116.1   39.2
62    36     116.1   39.4
62    38     116.1   39.6
63    32     116.2   39.0
63    33     116.2   39.1
