x     y      long    lat
55    40     115.5   39.8
55    42     115.5   40.0
56    39     115.5   39.6
56    40     115.5   39.8
56    41     115.5   39.9
56    42     115.5   40.0
56    43     115.5   40.1
57    39     115.6   39.6
57    40     115.6   39.8
57    41     115.6   39.9
57    42     115.6   40.0
57    43     115.6   40.1
58    38     115.8   39.6
58    39     115.8   39.6
58    40     115.8   39.8
58    41     115.8   39.9
58    42     115.8   40.0
58    43     115.8   40.1
58    44     115.8   40.1
59    39     115.8   39.6
59    40     115.8   39.8
59    41     115.8   39.9
59    42     115.8   40.0
59    43     115.8   40.1
59    44     115.8   40.1
59    47     115.8   40.5
59    48     115.8   40.6
60    39     116.0   39.6
60    40     116.0   39.8
60    41     116.0   39.9
60    42     116.0   40.0
60    43     116.0   40.1
60    44     116.0   40.1
60    45     116.0   40.2
60    46     116.0   40.4
60    47     116.0   40.5
60    48     116.0   40.6
61    39     116.0   39.6
61    40     116.0   39.8
61    41     116.0   39.9
61    42     116.0   40.0
61    43     116.0   40.1
61    44     116.0   40.1
61    45     116.0   40.2
61    46     116.0   40.4
61    47     116.0   40.5
61    48     116.0   40.6
62    39     116.1   39.6
62    40     116.1   39.8
62    41     116.1   39.9
62    42     116.1   40.0
62    43     116.1   40.1
62    44     116.1   40.1
62    45     116.1   40.2
62    46     116.1   40.4
62    47     116.1   40.5
62    48     116.1   40.6
62    49     116.1   40.7
63    38     116.2   39.6
63    39     116.2   39.6
63    40     116.2   39.8
63    41     116.2   39.9
63    42     116.2   40.0
63    43     116.2   40.1
63    44     116.2   40.1
63    45     116.2   40.2
63    46     116.2   40.4
63    47     116.2   40.5
63    48     116.2   40.6
63    49     116.2   40.7
63    50     116.2   40.8
64    37     116.3   39.5
64    38     116.3   39.6
64    39     116.3   39.6
64    40     116.3   39.8
64    41     116.3   39.9
64    42     116.3   40.0
64    43     116.3   40.1
64    44     116.3   40.1
64    45     116.3   40.2
64    46     116.3   40.4
64    47     116.3   40.5
64    48     116.3   40.6
64    49     116.3   40.7
64    50     116.3   40.8
65    38     116.5   39.6
65    39     116.5   39.6
65    40     116.5   39.8
65    41     116.5   39.9
65    42     116.5   40.0
65    43     116.5   40.1
65    44     116.5   40.1
65    45     116.5   40.2
65    46     116.5   40.4
65    47     116.5   40.5
65    48     116.5   40.6
65    49     116.5   40.7
65    50     116.5   40.8
65    51     116.5   40.9
65    52     116.5   41.0
66    39     116.5   39.6
66    40     116.5   39.8
66    41     116.5   39.9
66    42     116.5   40.0
66    43     116.5   40.1
66    44     116.5   40.1
66    45     116.5   40.2
66    46     116.5   40.4
66    47     116.5   40.5
66    48     116.5   40.6
66    49     116.5   40.7
66    50     116.5   40.8
66    51     116.5   40.9
66    52     116.5   41.0
67    39     116.6   39.6
67    40     116.6   39.8
67    41     116.6   39.9
67    42     116.6   40.0
67    43     116.6   40.1
67    44     116.6   40.1
67    45     116.6   40.2
67    46     116.6   40.4
67    47     116.6   40.5
67    48     116.6   40.6
67    49     116.6   40.7
67    50     116.6   40.8
67    51     116.6   40.9
67    52     116.6   41.0
67    53     116.6   41.1
68    39     116.8   39.6
68    40     116.8   39.8
68    41     116.8   39.9
68    42     116.8   40.0
68    43     116.8   40.1
68    44     116.8   40.1
68    45     116.8   40.2
68    46     116.8   40.4
68    47     116.8   40.5
68    48     116.8   40.6
68    49     116.8   40.7
68    50     116.8   40.8
68    51     116.8   40.9
69    40     116.8   39.8
69    41     116.8   39.9
69    43     116.8   40.1
69    44     116.8   40.1
69    45     116.8   40.2
69    46     116.8   40.4
69    47     116.8   40.5
69    48     116.8   40.6
69    49     116.8   40.7
69    50     116.8   40.8
70    43     117.0   40.1
70    44     117.0   40.1
70    45     117.0   40.2
70    46     117.0   40.4
70    47     117.0   40.5
70    48     117.0   40.6
70    49     117.0   40.7
71    44     117.0   40.1
71    45     117.0   40.2
71    46     117.0   40.4
71    47     117.0   40.5
71    48     117.0   40.6
71    49     117.0   40.7
72    44     117.1   40.1
72    45     117.1   40.2
72    46     117.1   40.4
72    47     117.1   40.5
72    48     117.1   40.6
72    49     117.1   40.7
73    44     117.2   40.1
73    45     117.2   40.2
73    49     117.2   40.7
74    49     117.3   40.7
