x     y      long    lat
90    50     118.95  40.75
90    51     118.95  40.85
90    52     118.95  40.95
90    53     118.95  41.05
91    50     119.05  40.75
91    51     119.05  40.85
91    52     119.05  40.95
91    53     119.05  41.05
92    50     119.15  40.75
92    51     119.15  40.85
92    52     119.15  40.95
92    53     119.15  41.05
92    54     119.15  41.15
93    49     119.25  40.65
93    50     119.25  40.75
93    51     119.25  40.85
93    52     119.25  40.95
93    53     119.25  41.05
93    54     119.25  41.15
93    55     119.25  41.25
94    50     119.35  40.75
94    51     119.35  40.85
94    52     119.35  40.95
94    53     119.35  41.05
94    54     119.35  41.15
94    55     119.35  41.25
94    56     119.35  41.35
94    59     119.35  41.65
94    60     119.35  41.75
94    61     119.35  41.85
94    62     119.35  41.95
94    64     119.35  42.15
94    65     119.35  42.25
95    50     119.45  40.75
95    51     119.45  40.85
95    52     119.45  40.95
95    53     119.45  41.05
95    54     119.45  41.15
95    55     119.45  41.25
95    56     119.45  41.35
95    57     119.45  41.45
95    58     119.45  41.55
95    59     119.45  41.65
95    60     119.45  41.75
95    61     119.45  41.85
95    62     119.45  41.95
95    63     119.45  42.05
95    64     119.45  42.15
95    65     119.45  42.25
96    51     119.55  40.85
96    52     119.55  40.95
96    53     119.55  41.05
96    54     119.55  41.15
96    55     119.55  41.25
96    56     119.55  41.35
96    57     119.55  41.45
96    58     119.55  41.55
96    59     119.55  41.65
96    60     119.55  41.75
96    61     119.55  41.85
96    62     119.55  41.95
96    63     119.55  42.05
96    64     119.55  42.15
96    65     119.55  42.25
97    51     119.65  40.85
97    52     119.65  40.95
97    53     119.65  41.05
97    54     119.65  41.15
97    55     119.65  41.25
97    56     119.65  41.35
97    57     119.65  41.45
97    58     119.65  41.55
97    59     119.65  41.65
97    60     119.65  41.75
97    61     119.65  41.85
97    62     119.65  41.95
97    63     119.65  42.05
97    64     119.65  42.15
98    52     119.75  40.95
98    53     119.75  41.05
98    54     119.75  41.15
98    55     119.75  41.25
98    56     119.75  41.35
98    57     119.75  41.45
98    58     119.75  41.55
98    59     119.75  41.65
98    60     119.75  41.75
98    61     119.75  41.85
98    62     119.75  41.95
98    63     119.75  42.05
98    64     119.75  42.15
99    52     119.85  40.95
99    53     119.85  41.05
99    54     119.85  41.15
99    55     119.85  41.25
99    56     119.85  41.35
99    57     119.85  41.45
99    58     119.85  41.55
99    59     119.85  41.65
99    60     119.85  41.75
99    61     119.85  41.85
99    62     119.85  41.95
99    63     119.85  42.05
100    52     119.95  40.95
100    53     119.95  41.05
100    54     119.95  41.15
100    55     119.95  41.25
100    56     119.95  41.35
100    57     119.95  41.45
100    58     119.95  41.55
100    59     119.95  41.65
100    60     119.95  41.75
100    61     119.95  41.85
100    62     119.95  41.95
101    54     120.05  41.15
101    55     120.05  41.25
101    56     120.05  41.35
101    57     120.05  41.45
101    58     120.05  41.55
101    59     120.05  41.65
102    53     120.15  41.05
102    54     120.15  41.15
102    55     120.15  41.25
102    56     120.15  41.35
102    57     120.15  41.45
102    58     120.15  41.55
102    59     120.15  41.65
102    60     120.15  41.75
103    53     120.25  41.05
103    54     120.25  41.15
103    55     120.25  41.25
103    56     120.25  41.35
103    57     120.25  41.45
103    58     120.25  41.55
103    59     120.25  41.65
103    60     120.25  41.75
103    61     120.25  41.85
104    53     120.35  41.05
104    54     120.35  41.15
104    55     120.35  41.25
104    56     120.35  41.35
104    57     120.35  41.45
104    58     120.35  41.55
104    59     120.35  41.65
104    60     120.35  41.75
104    61     120.35  41.85
104    62     120.35  41.95
105    53     120.45  41.05
105    54     120.45  41.15
105    55     120.45  41.25
105    56     120.45  41.35
105    57     120.45  41.45
105    58     120.45  41.55
105    59     120.45  41.65
105    60     120.45  41.75
105    61     120.45  41.85
105    62     120.45  41.95
106    54     120.55  41.15
106    55     120.55  41.25
106    56     120.55  41.35
106    57     120.55  41.45
106    58     120.55  41.55
106    59     120.55  41.65
106    60     120.55  41.75
106    61     120.55  41.85
106    62     120.55  41.95
106    63     120.55  42.05
107    55     120.65  41.25
107    56     120.65  41.35
107    57     120.65  41.45
107    58     120.65  41.55
107    59     120.65  41.65
107    60     120.65  41.75
107    61     120.65  41.85
107    62     120.65  41.95
107    63     120.65  42.05
107    64     120.65  42.15
108    55     120.75  41.25
108    56     120.75  41.35
108    57     120.75  41.45
108    58     120.75  41.55
108    59     120.75  41.65
108    60     120.75  41.75
108    61     120.75  41.85
108    62     120.75  41.95
108    63     120.75  42.05
108    64     120.75  42.15
109    57     120.85  41.45
109    58     120.85  41.55
109    59     120.85  41.65
109    60     120.85  41.75
109    61     120.85  41.85
109    62     120.85  41.95
109    63     120.85  42.05
109    64     120.85  42.15
110    58     120.95  41.55
110    59     120.95  41.65
110    60     120.95  41.75
110    61     120.95  41.85
110    62     120.95  41.95
110    63     120.95  42.05
110    64     120.95  42.15
110    65     120.95  42.25
111    59     121.05  41.65
111    60     121.05  41.75
111    61     121.05  41.85
111    62     121.05  41.95
111    64     121.05  42.15
112    60     121.15  41.75
112    61     121.15  41.85
112    62     121.15  41.95
113    61     121.25  41.85
