x     y      long    lat
60    59     116.0   41.7
61    57     116.0   41.5
61    58     116.0   41.6
61    59     116.0   41.7
62    57     116.1   41.5
62    58     116.1   41.6
62    59     116.1   41.7
62    60     116.1   41.8
62    61     116.1   41.9
63    54     116.2   41.2
63    55     116.2   41.2
63    56     116.2   41.4
63    57     116.2   41.5
63    58     116.2   41.6
63    59     116.2   41.7
63    60     116.2   41.8
63    61     116.2   41.9
64    53     116.3   41.1
64    54     116.3   41.2
64    55     116.3   41.2
64    56     116.3   41.4
64    57     116.3   41.5
64    58     116.3   41.6
64    59     116.3   41.7
64    60     116.3   41.8
64    61     116.3   41.9
64    62     116.3   42.0
65    53     116.5   41.1
65    54     116.5   41.2
65    55     116.5   41.2
65    56     116.5   41.4
65    57     116.5   41.5
65    58     116.5   41.6
65    59     116.5   41.7
65    60     116.5   41.8
65    61     116.5   41.9
66    53     116.5   41.1
66    54     116.5   41.2
66    55     116.5   41.2
66    56     116.5   41.4
66    57     116.5   41.5
66    58     116.5   41.6
66    59     116.5   41.7
66    60     116.5   41.8
66    61     116.5   41.9
67    54     116.6   41.2
67    55     116.6   41.2
67    56     116.6   41.4
67    57     116.6   41.5
67    58     116.6   41.6
67    59     116.6   41.7
67    60     116.6   41.8
67    61     116.6   41.9
68    52     116.8   41.0
68    53     116.8   41.1
68    54     116.8   41.2
68    55     116.8   41.2
68    56     116.8   41.4
68    57     116.8   41.5
68    58     116.8   41.6
68    59     116.8   41.7
68    60     116.8   41.8
68    61     116.8   41.9
68    62     116.8   42.0
69    51     116.8   40.9
69    52     116.8   41.0
69    53     116.8   41.1
69    54     116.8   41.2
69    55     116.8   41.2
69    56     116.8   41.4
69    57     116.8   41.5
69    58     116.8   41.6
69    59     116.8   41.7
69    60     116.8   41.8
69    61     116.8   41.9
69    62     116.8   42.0
69    64     116.8   42.2
70    50     117.0   40.8
70    51     117.0   40.9
70    52     117.0   41.0
70    53     117.0   41.1
70    54     117.0   41.2
70    55     117.0   41.2
70    56     117.0   41.4
70    57     117.0   41.5
70    58     117.0   41.6
70    59     117.0   41.7
70    60     117.0   41.8
70    61     117.0   41.9
70    62     117.0   42.0
70    63     117.0   42.1
70    64     117.0   42.2
70    65     117.0   42.2
70    66     117.0   42.4
71    50     117.0   40.8
71    51     117.0   40.9
71    52     117.0   41.0
71    53     117.0   41.1
71    54     117.0   41.2
71    55     117.0   41.2
71    56     117.0   41.4
71    57     117.0   41.5
71    58     117.0   41.6
71    59     117.0   41.7
71    60     117.0   41.8
71    61     117.0   41.9
71    62     117.0   42.0
71    63     117.0   42.1
71    64     117.0   42.2
71    65     117.0   42.2
71    66     117.0   42.4
71    67     117.0   42.5
72    50     117.1   40.8
72    51     117.1   40.9
72    52     117.1   41.0
72    53     117.1   41.1
72    54     117.1   41.2
72    55     117.1   41.2
72    56     117.1   41.4
72    57     117.1   41.5
72    58     117.1   41.6
72    59     117.1   41.7
72    60     117.1   41.8
72    61     117.1   41.9
72    62     117.1   42.0
72    63     117.1   42.1
72    64     117.1   42.2
72    65     117.1   42.2
72    66     117.1   42.4
72    67     117.1   42.5
73    46     117.2   40.4
73    47     117.2   40.5
73    48     117.2   40.6
73    50     117.2   40.8
73    51     117.2   40.9
73    52     117.2   41.0
73    53     117.2   41.1
73    54     117.2   41.2
73    55     117.2   41.2
73    56     117.2   41.4
73    57     117.2   41.5
73    58     117.2   41.6
73    59     117.2   41.7
73    60     117.2   41.8
73    61     117.2   41.9
73    62     117.2   42.0
73    63     117.2   42.1
73    64     117.2   42.2
73    65     117.2   42.2
