x     y      long    lat
82    17     118.15  37.45
83    17     118.25  37.45
83    18     118.25  37.55
83    19     118.25  37.65
83    22     118.25  37.95
83    23     118.25  38.05
84    13     118.35  37.05
84    16     118.35  37.35
84    17     118.35  37.45
84    18     118.35  37.55
84    19     118.35  37.65
84    20     118.35  37.75
84    21     118.35  37.85
84    22     118.35  37.95
84    23     118.35  38.05
85    12     118.45  36.95
85    13     118.45  37.05
85    14     118.45  37.15
85    15     118.45  37.25
85    16     118.45  37.35
85    17     118.45  37.45
85    18     118.45  37.55
85    19     118.45  37.65
85    20     118.45  37.75
85    21     118.45  37.85
85    22     118.45  37.95
85    23     118.45  38.05
86    13     118.55  37.05
86    14     118.55  37.15
86    15     118.55  37.25
86    16     118.55  37.35
86    17     118.55  37.45
86    18     118.55  37.55
86    19     118.55  37.65
86    20     118.55  37.75
86    21     118.55  37.85
86    22     118.55  37.95
87    15     118.65  37.25
87    16     118.65  37.35
87    17     118.65  37.45
87    18     118.65  37.55
87    19     118.65  37.65
87    20     118.65  37.75
87    21     118.65  37.85
87    22     118.65  37.95
87    23     118.65  38.05
88    16     118.75  37.35
88    17     118.75  37.45
88    18     118.75  37.55
88    19     118.75  37.65
88    20     118.75  37.75
88    21     118.75  37.85
88    22     118.75  37.95
88    23     118.75  38.05
89    16     118.85  37.35
89    17     118.85  37.45
89    18     118.85  37.55
89    19     118.85  37.65
89    20     118.85  37.75
89    21     118.85  37.85
89    22     118.85  37.95
89    23     118.85  38.05
90    19     118.95  37.65
90    20     118.95  37.75
90    21     118.95  37.85
90    22     118.95  37.95
91    20     119.05  37.75
91    21     119.05  37.85
