x     y      long    lat
93    48     119.25  40.55
94    48     119.35  40.55
94    49     119.35  40.65
95    48     119.45  40.55
95    49     119.45  40.65
96    48     119.55  40.55
96    49     119.55  40.65
96    50     119.55  40.75
97    45     119.65  40.25
97    46     119.65  40.35
97    47     119.65  40.45
97    48     119.65  40.55
97    49     119.65  40.65
97    50     119.65  40.75
98    45     119.75  40.25
98    46     119.75  40.35
98    47     119.75  40.45
98    48     119.75  40.55
98    49     119.75  40.65
98    50     119.75  40.75
98    51     119.75  40.85
99    43     119.85  40.05
99    44     119.85  40.15
99    45     119.85  40.25
99    46     119.85  40.35
99    47     119.85  40.45
99    48     119.85  40.55
99    49     119.85  40.65
99    50     119.85  40.75
99    51     119.85  40.85
100    44     119.95  40.15
100    45     119.95  40.25
100    46     119.95  40.35
100    47     119.95  40.45
100    48     119.95  40.55
100    49     119.95  40.65
100    50     119.95  40.75
100    51     119.95  40.85
101    44     120.05  40.15
101    45     120.05  40.25
101    46     120.05  40.35
101    47     120.05  40.45
101    48     120.05  40.55
101    49     120.05  40.65
101    50     120.05  40.75
101    51     120.05  40.85
101    52     120.05  40.95
101    53     120.05  41.05
102    44     120.15  40.15
102    45     120.15  40.25
102    46     120.15  40.35
102    47     120.15  40.45
102    48     120.15  40.55
102    49     120.15  40.65
102    50     120.15  40.75
102    51     120.15  40.85
102    52     120.15  40.95
103    44     120.25  40.15
103    45     120.25  40.25
103    46     120.25  40.35
103    47     120.25  40.45
103    48     120.25  40.55
103    49     120.25  40.65
103    50     120.25  40.75
103    51     120.25  40.85
103    52     120.25  40.95
104    45     120.35  40.25
104    46     120.35  40.35
104    47     120.35  40.45
104    48     120.35  40.55
104    49     120.35  40.65
104    50     120.35  40.75
104    51     120.35  40.85
104    52     120.35  40.95
105    45     120.45  40.25
105    46     120.45  40.35
105    47     120.45  40.45
105    48     120.45  40.55
105    49     120.45  40.65
105    50     120.45  40.75
105    51     120.45  40.85
105    52     120.45  40.95
106    46     120.55  40.35
106    47     120.55  40.45
106    48     120.55  40.55
106    49     120.55  40.65
106    50     120.55  40.75
106    51     120.55  40.85
106    52     120.55  40.95
106    53     120.55  41.05
107    48     120.65  40.55
107    49     120.65  40.65
107    50     120.65  40.75
107    51     120.65  40.85
107    52     120.65  40.95
107    53     120.65  41.05
107    54     120.65  41.15
108    49     120.75  40.65
108    50     120.75  40.75
108    51     120.75  40.85
108    52     120.75  40.95
108    53     120.75  41.05
108    54     120.75  41.15
109    50     120.85  40.75
109    51     120.85  40.85
109    52     120.85  40.95
109    53     120.85  41.05
110    51     120.95  40.85
110    52     120.95  40.95
