x     y      long    lat
87    46     118.6   40.4
88    45     118.8   40.2
88    46     118.8   40.4
88    47     118.8   40.5
89    39     118.8   39.6
89    40     118.8   39.8
89    41     118.8   39.9
89    45     118.8   40.2
89    46     118.8   40.4
89    47     118.8   40.5
90    38     119.0   39.6
90    39     119.0   39.6
90    40     119.0   39.8
90    41     119.0   39.9
90    42     119.0   40.0
90    43     119.0   40.1
90    44     119.0   40.1
90    45     119.0   40.2
90    46     119.0   40.4
90    47     119.0   40.5
91    38     119.0   39.6
91    39     119.0   39.6
91    40     119.0   39.8
91    41     119.0   39.9
91    42     119.0   40.0
91    43     119.0   40.1
91    44     119.0   40.1
91    45     119.0   40.2
91    46     119.0   40.4
91    47     119.0   40.5
91    48     119.0   40.6
92    38     119.1   39.6
92    39     119.1   39.6
92    40     119.1   39.8
92    41     119.1   39.9
92    42     119.1   40.0
92    43     119.1   40.1
92    44     119.1   40.1
92    45     119.1   40.2
92    46     119.1   40.4
92    47     119.1   40.5
92    48     119.1   40.6
93    37     119.2   39.5
93    38     119.2   39.6
93    39     119.2   39.6
93    40     119.2   39.8
93    41     119.2   39.9
93    42     119.2   40.0
93    43     119.2   40.1
93    44     119.2   40.1
93    45     119.2   40.2
93    46     119.2   40.4
93    47     119.2   40.5
94    40     119.3   39.8
94    41     119.3   39.9
94    42     119.3   40.0
94    43     119.3   40.1
94    44     119.3   40.1
94    45     119.3   40.2
94    46     119.3   40.4
94    47     119.3   40.5
95    41     119.5   39.9
95    42     119.5   40.0
95    43     119.5   40.1
95    44     119.5   40.1
95    45     119.5   40.2
95    46     119.5   40.4
95    47     119.5   40.5
96    42     119.5   40.0
96    43     119.5   40.1
96    44     119.5   40.1
96    45     119.5   40.2
96    46     119.5   40.4
96    47     119.5   40.5
97    42     119.7   40.0
97    43     119.7   40.1
97    44     119.7   40.1
98    43     119.8   40.1
98    44     119.8   40.1
