x     y      long    lat
76    41     117.5   39.9
76    42     117.5   40.0
77    40     117.6   39.8
77    41     117.6   39.9
77    42     117.6   40.0
77    44     117.6   40.1
78    39     117.8   39.6
78    40     117.8   39.8
78    41     117.8   39.9
78    42     117.8   40.0
78    44     117.8   40.1
79    39     117.8   39.6
79    40     117.8   39.8
79    41     117.8   39.9
79    42     117.8   40.0
79    43     117.8   40.1
79    44     117.8   40.1
79    45     117.8   40.2
80    37     118.0   39.5
80    38     118.0   39.6
80    39     118.0   39.6
80    40     118.0   39.8
80    41     118.0   39.9
80    42     118.0   40.0
80    43     118.0   40.1
80    44     118.0   40.1
80    45     118.0   40.2
81    36     118.0   39.4
81    37     118.0   39.5
81    38     118.0   39.6
81    39     118.0   39.6
81    40     118.0   39.8
81    41     118.0   39.9
81    42     118.0   40.0
81    43     118.0   40.1
81    44     118.0   40.1
81    45     118.0   40.2
82    35     118.1   39.2
82    36     118.1   39.4
82    37     118.1   39.5
82    38     118.1   39.6
82    39     118.1   39.6
82    40     118.1   39.8
82    41     118.1   39.9
82    42     118.1   40.0
82    43     118.1   40.1
82    44     118.1   40.1
82    45     118.1   40.2
82    46     118.1   40.4
83    33     118.2   39.1
83    34     118.2   39.1
83    35     118.2   39.2
83    36     118.2   39.4
83    37     118.2   39.5
83    38     118.2   39.6
83    39     118.2   39.6
83    40     118.2   39.8
83    41     118.2   39.9
83    42     118.2   40.0
83    43     118.2   40.1
83    44     118.2   40.1
83    45     118.2   40.2
83    46     118.2   40.4
83    47     118.2   40.5
84    33     118.3   39.1
84    34     118.3   39.1
84    35     118.3   39.2
84    36     118.3   39.4
84    37     118.3   39.5
84    38     118.3   39.6
84    39     118.3   39.6
84    40     118.3   39.8
84    41     118.3   39.9
84    42     118.3   40.0
84    43     118.3   40.1
84    44     118.3   40.1
84    45     118.3   40.2
84    46     118.3   40.4
85    34     118.5   39.1
85    35     118.5   39.2
85    36     118.5   39.4
85    37     118.5   39.5
85    38     118.5   39.6
85    39     118.5   39.6
85    40     118.5   39.8
85    41     118.5   39.9
85    42     118.5   40.0
85    43     118.5   40.1
85    44     118.5   40.1
85    45     118.5   40.2
85    46     118.5   40.4
86    35     118.5   39.2
86    36     118.5   39.4
86    37     118.5   39.5
86    38     118.5   39.6
86    39     118.5   39.6
86    40     118.5   39.8
86    41     118.5   39.9
86    42     118.5   40.0
86    43     118.5   40.1
86    44     118.5   40.1
86    45     118.5   40.2
87    35     118.6   39.2
87    36     118.6   39.4
87    37     118.6   39.5
87    38     118.6   39.6
87    39     118.6   39.6
87    40     118.6   39.8
87    41     118.6   39.9
87    42     118.6   40.0
87    43     118.6   40.1
87    44     118.6   40.1
87    45     118.6   40.2
88    34     118.8   39.1
88    35     118.8   39.2
88    36     118.8   39.4
88    37     118.8   39.5
88    38     118.8   39.6
88    39     118.8   39.6
88    40     118.8   39.8
88    41     118.8   39.9
88    42     118.8   40.0
88    43     118.8   40.1
88    44     118.8   40.1
89    35     118.8   39.2
89    36     118.8   39.4
89    37     118.8   39.5
89    38     118.8   39.6
89    42     118.8   40.0
89    43     118.8   40.1
89    44     118.8   40.1
90    35     119.0   39.2
90    36     119.0   39.4
90    37     119.0   39.5
91    35     119.0   39.2
91    36     119.0   39.4
91    37     119.0   39.5
92    36     119.1   39.4
92    37     119.1   39.5
