x     y      long    lat
68    30     116.8   38.8
68    31     116.8   38.9
68    32     116.8   39.0
69    30     116.8   38.8
69    31     116.8   38.9
69    32     116.8   39.0
69    33     116.8   39.1
69    37     116.8   39.5
69    38     116.8   39.6
69    39     116.8   39.6
70    30     117.0   38.8
70    31     117.0   38.9
70    32     117.0   39.0
70    33     117.0   39.1
70    34     117.0   39.1
70    35     117.0   39.2
70    36     117.0   39.4
70    37     117.0   39.5
70    38     117.0   39.6
70    39     117.0   39.6
71    30     117.0   38.8
71    31     117.0   38.9
71    32     117.0   39.0
71    33     117.0   39.1
71    34     117.0   39.1
71    35     117.0   39.2
71    36     117.0   39.4
71    37     117.0   39.5
71    38     117.0   39.6
72    29     117.1   38.6
72    30     117.1   38.8
72    31     117.1   38.9
72    32     117.1   39.0
72    33     117.1   39.1
72    34     117.1   39.1
72    35     117.1   39.2
72    36     117.1   39.4
72    37     117.1   39.5
72    38     117.1   39.6
72    42     117.1   40.0
73    29     117.2   38.6
73    30     117.2   38.8
73    31     117.2   38.9
73    32     117.2   39.0
73    33     117.2   39.1
73    34     117.2   39.1
73    35     117.2   39.2
73    36     117.2   39.4
73    37     117.2   39.5
73    38     117.2   39.6
73    39     117.2   39.6
73    40     117.2   39.8
73    42     117.2   40.0
73    43     117.2   40.1
74    29     117.3   38.6
74    30     117.3   38.8
74    31     117.3   38.9
74    32     117.3   39.0
74    33     117.3   39.1
74    34     117.3   39.1
74    35     117.3   39.2
74    36     117.3   39.4
74    37     117.3   39.5
74    38     117.3   39.6
74    39     117.3   39.6
74    40     117.3   39.8
74    41     117.3   39.9
74    42     117.3   40.0
74    43     117.3   40.1
74    44     117.3   40.1
75    29     117.5   38.6
75    30     117.5   38.8
75    31     117.5   38.9
75    32     117.5   39.0
75    33     117.5   39.1
75    34     117.5   39.1
75    35     117.5   39.2
75    36     117.5   39.4
75    37     117.5   39.5
75    38     117.5   39.6
75    39     117.5   39.6
75    40     117.5   39.8
75    41     117.5   39.9
75    42     117.5   40.0
75    43     117.5   40.1
75    44     117.5   40.1
76    30     117.5   38.8
76    31     117.5   38.9
76    32     117.5   39.0
76    33     117.5   39.1
76    34     117.5   39.1
76    35     117.5   39.2
76    36     117.5   39.4
76    37     117.5   39.5
76    38     117.5   39.6
76    39     117.5   39.6
76    40     117.5   39.8
76    43     117.5   40.1
76    44     117.5   40.1
77    32     117.6   39.0
77    33     117.6   39.1
77    34     117.6   39.1
77    35     117.6   39.2
77    36     117.6   39.4
77    37     117.6   39.5
77    38     117.6   39.6
77    39     117.6   39.6
77    43     117.6   40.1
78    34     117.8   39.1
78    35     117.8   39.2
78    36     117.8   39.4
78    37     117.8   39.5
78    38     117.8   39.6
78    43     117.8   40.1
79    35     117.8   39.2
79    36     117.8   39.4
79    37     117.8   39.5
79    38     117.8   39.6
80    35     118.0   39.2
80    36     118.0   39.4
81    35     118.0   39.2
