x     y      long    lat
97    13     119.65  37.05
98    13     119.75  37.05
99    13     119.85  37.05
99    14     119.85  37.15
100    13     119.95  37.05
100    14     119.95  37.15
100    15     119.95  37.25
100    16     119.95  37.35
101    13     120.05  37.05
101    14     120.05  37.15
101    15     120.05  37.25
101    16     120.05  37.35
102    13     120.15  37.05
102    14     120.15  37.15
102    15     120.15  37.25
102    16     120.15  37.35
102    17     120.15  37.45
103    14     120.25  37.15
103    15     120.25  37.25
103    16     120.25  37.35
103    17     120.25  37.45
103    18     120.25  37.55
104    14     120.35  37.15
104    15     120.35  37.25
104    16     120.35  37.35
104    17     120.35  37.45
104    18     120.35  37.55
104    19     120.35  37.65
105    14     120.45  37.15
105    15     120.45  37.25
105    16     120.45  37.35
105    17     120.45  37.45
105    18     120.45  37.55
105    19     120.45  37.65
106    10     120.55  36.75
106    13     120.55  37.05
106    14     120.55  37.15
106    15     120.55  37.25
106    16     120.55  37.35
106    17     120.55  37.45
106    18     120.55  37.55
106    19     120.55  37.65
106    20     120.55  37.75
107    10     120.65  36.75
107    11     120.65  36.85
107    12     120.65  36.95
107    13     120.65  37.05
107    14     120.65  37.15
107    15     120.65  37.25
107    16     120.65  37.35
107    17     120.65  37.45
107    18     120.65  37.55
107    19     120.65  37.65
107    20     120.65  37.75
108    9     120.75  36.65
108    10     120.75  36.75
108    11     120.75  36.85
108    12     120.75  36.95
108    13     120.75  37.05
108    14     120.75  37.15
108    15     120.75  37.25
108    16     120.75  37.35
108    17     120.75  37.45
108    18     120.75  37.55
108    19     120.75  37.65
108    20     120.75  37.75
109    9     120.85  36.65
109    10     120.85  36.75
109    11     120.85  36.85
109    12     120.85  36.95
109    13     120.85  37.05
109    14     120.85  37.15
109    15     120.85  37.25
109    16     120.85  37.35
109    17     120.85  37.45
109    18     120.85  37.55
109    19     120.85  37.65
109    20     120.85  37.75
110    9     120.95  36.65
110    10     120.95  36.75
110    11     120.95  36.85
110    12     120.95  36.95
110    13     120.95  37.05
110    14     120.95  37.15
110    15     120.95  37.25
110    16     120.95  37.35
110    17     120.95  37.45
110    18     120.95  37.55
110    19     120.95  37.65
110    20     120.95  37.75
111    9     121.05  36.65
111    10     121.05  36.75
111    11     121.05  36.85
111    12     121.05  36.95
111    13     121.05  37.05
111    14     121.05  37.15
111    15     121.05  37.25
111    16     121.05  37.35
111    17     121.05  37.45
111    18     121.05  37.55
111    19     121.05  37.65
112    10     121.15  36.75
112    11     121.15  36.85
112    12     121.15  36.95
112    13     121.15  37.05
112    14     121.15  37.15
112    15     121.15  37.25
112    16     121.15  37.35
112    17     121.15  37.45
112    18     121.15  37.55
113    10     121.25  36.75
113    11     121.25  36.85
113    14     121.25  37.15
113    15     121.25  37.25
113    16     121.25  37.35
113    17     121.25  37.45
113    18     121.25  37.55
114    10     121.35  36.75
114    11     121.35  36.85
114    14     121.35  37.15
114    15     121.35  37.25
114    16     121.35  37.35
114    17     121.35  37.45
114    18     121.35  37.55
115    14     121.45  37.15
115    15     121.45  37.25
115    16     121.45  37.35
115    17     121.45  37.45
116    14     121.55  37.15
116    15     121.55  37.25
116    16     121.55  37.35
117    14     121.65  37.15
117    15     121.65  37.25
117    16     121.65  37.35
118    15     121.75  37.25
118    16     121.75  37.35
119    16     121.85  37.35
119    17     121.85  37.45
